Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,301.3499999999999,55.836343007090015,500.8623182792969,41.27225385002131,298.36068984,37.044318054055196,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,57.92706976236028,269.2561360659322,82.56727108676455,6014.1709999999985,1122.5983339962586,24.004108562636915,14694.437399999997,32.82789831009999
9.0,393.4861999999999,62.187615209699366,846.226733185547,40.78241768806961,399.72824663999995,38.97757185792876,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,71.72114188754168,421.3194367158121,105.02349143668306,6562.225599999998,1101.7339396077177,24.69493854117658,17604.845,28.139996218638522
7.64,238.42499999999995,49.050505516529704,569.4400800000001,68.55106704106494,260.24555816,30.50179756424201,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,51.461518398282365,304.81551060752173,75.39910408071142,5772.2676999999985,1114.9846323233883,20.432279872959747,12833.766999999998,62.94270230227651
7.31,264.435,50.319267369939276,662.31948146875,68.78631715239385,282.47367271999997,31.187211496060364,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,52.65354408486567,343.6938193509517,78.18703203724944,6276.270199999998,1148.3061461383586,20.649488719071464,14849.776999999998,62.955818067585916
7.3,447.5759999999999,60.64109009603223,1137.1787448707198,82.48599460838025,657.8430293199999,38.65308479500698,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,105.69417557341862,447.97672904429015,159.03959070619246,10179.667799999997,1343.879030010122,23.618965684868893,26354.504,65.83090651106703
8.54,579.156,66.24740610177557,1172.6578587694028,57.83697609947871,727.4414055599998,46.09113543459306,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,105.04548299758798,374.6907906880165,159.8881473060451,12238.2732,1400.6613893408266,27.02669076346811,31253.992000000002,36.27120042543326
8.52,477.97199999999987,61.48285010217771,1096.8716246386896,55.44342537164712,658.0925665200002,40.91885145834374,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,104.4937859992049,400.87714434331554,156.52564206980463,10722.867999999997,1352.2730898297873,24.710272752427773,27789.507999999998,35.563691280198974
8.92,464.96699999999987,61.28827962759615,1014.8934958177413,54.79148528119404,640.6441877999999,40.3988848660455,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,104.31186349045801,381.1923685037444,155.5205158208182,10218.865499999998,1328.521183573048,24.559257219053457,26781.502999999997,35.402394182423244
8.92,519.4859999999999,62.13603423362555,1191.2622766668464,57.10094172855711,706.6368994,42.945600330301595,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,104.8533212301897,414.96619938563794,158.9672497138528,11974.233,1399.879031927145,25.42072813151265,30505.958000000002,35.950941969016014
8.96,556.002,65.44108223757739,1355.1486629861904,64.38708500597212,873.7315709999998,42.44054574837605,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,124.85814374163368,520.4291093516167,194.63500506260536,12234.8755,1418.9435314350842,25.152591391550526,33837.53799999999,39.97666786951465
8.55,482.51099999999985,62.66521148806405,1053.9797880480837,55.508668765596745,659.6263474,42.09636548895879,5887.248114816845,206.52979999999994,224.18376411110168,2848.7208421904,108.15229549287595,391.3829379994046,160.28132433343328,10350.885599999998,1328.9556137070222,25.442880288293395,27297.403999999995,35.96496158590133
9.22,504.28799999999984,62.38552998024147,1424.0706510176346,81.96024117338209,734.0889702399999,41.456725215940544,6169.05951530134,207.85509999999996,302.7899415177045,3798.7249245568237,108.03495815148254,513.6592680866952,166.2883943479743,11319.6929,1389.964470003376,24.870240865683307,29983.321999999996,64.51736070064428
8.0,619.0026000000001,68.07917299997499,1303.2108147501267,69.71204251201577,950.3311864799996,44.79418593790941,7322.342744794522,243.83839999999995,247.9118616511923,3744.354908849396,129.6800892576781,439.73070707413405,206.38168295634296,13574.208500000002,1494.0681716378788,26.185668387590873,38539.4268,42.71547425024511
8.11,661.1130000000002,69.30960624897119,1601.118572771993,71.1238473795553,1033.2419151199997,46.40569686676412,7259.780058300045,261.28889999999996,301.21482180546195,4513.931980554596,130.31255857231224,517.424678439041,210.2004699045632,14122.263100000002,1482.4159567252243,26.76992012730529,39294.235,43.07840966127201
7.92,612.5610000000001,67.52942290783024,1394.166947523137,71.30593087055681,1017.3534449199997,43.425395057730924,7136.190148192137,233.71119999999993,268.7571019480117,3989.978754332734,130.69831946298717,473.68183772905587,210.85433038283895,13242.880500000003,1460.127889924978,25.439040710344518,37377.454,43.34423583035612
8.15,440.5067999999999,60.80658960330297,849.424560977104,59.931643194833335,668.9364868399998,39.62962857673537,5863.854551316469,186.48729999999998,187.56046123515668,2333.5438293020256,108.18642583895642,339.25558801932203,162.7768453352415,9914.1709,1345.6440279292674,24.313891469394264,26363.810799999996,39.997661469858066
5.55,170.90099999999995,44.867260801608516,283.9510423750001,66.69901347796775,186.86191704000004,27.590390168498885,2784.572969298883,83.9113,96.99224083297173,634.51852475,46.89676520120246,165.01789338712737,64.57136466536652,3756.2577000000006,956.113731426241,19.513477942059566,8101.306999999999,62.771937706528256
6.07,183.90599999999995,45.89053391180466,339.0041039375001,67.02635098434203,196.68203816000002,28.34628963197829,3020.421197858835,90.4138,110.30204965320146,774.8945950000001,47.32677369129971,191.33662181293448,65.69307603380621,4260.2602,1000.6864127172288,19.751254602611326,9109.312,62.79769274989507
