Activity,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,81.6629044972073,127.05139518999997,37.044318054055196,500.8623182792969,55.836343007090015,146.30089999999998,82.56727108676455,380.75086812680667,1658.257428393499,98.55208210941986,6014.1709999999985,2668.46223557841,1298.602980597656,14694.437399999997,3965.385526119835,141.9459083283279,57.92706976236028,298.36068984,24.004108562636915,41.27225385002131
9.0,96.21066939908484,148.66076701999998,38.97757185792876,846.226733185547,62.187615209699366,163.7514,105.02349143668306,628.4647591733835,1680.0099135679407,146.21731236945502,6562.225599999998,2839.2021770149195,2382.9307214179685,17604.845,4381.833280793953,219.34753195824067,71.72114188754168,399.72824663999995,24.69493854117658,40.78241768806961
7.64,70.22186092307722,156.34935581999997,30.50179756424201,569.4400800000001,49.050505516529704,109.92129999999999,75.39910408071142,428.44481789443364,1659.481440489254,114.5039223167868,5772.2676999999985,2530.4588124896004,1399.5618880000002,12833.766999999998,3710.545956333448,166.138285959921,51.461518398282365,260.24555816,20.432279872959747,68.55106704106494
7.31,73.7529301722989,162.21306158,31.187211496060364,662.31948146875,50.319267369939276,116.42379999999999,78.18703203724944,493.07788905840687,1734.329026261897,127.29549639489386,6276.270199999998,2746.975416584827,1691.2365320625,14849.776999999998,4106.236764288257,186.69716321886003,52.65354408486567,282.47367271999997,20.649488719071464,68.78631715239385
7.3,97.47564371934149,288.01664399000003,38.65308479500698,1137.1787448707198,60.64109009603223,183.01649999999998,159.03959070619246,699.0221455538546,2205.148568188162,160.46762301072576,10179.667799999997,3619.321004921604,3066.9944992931155,26354.504,5812.647541007195,253.6120181711015,105.69417557341862,657.8430293199999,23.618965684868893,82.48599460838025
8.54,110.7727983396646,275.90773209,46.09113543459306,1172.6578587694028,66.24740610177557,247.11249999999993,159.8881473060451,612.5542518861757,2373.618827141232,135.8255312310981,12238.2732,3675.2048462017765,3084.6520283516384,31253.992000000002,6110.916161369422,226.51769140984507,105.04548299758798,727.4414055599998,27.02669076346811,57.83697609947871
8.52,99.93325394732224,244.87801539,40.91885145834374,1096.8716246386896,61.48285010217771,201.19869999999995,156.52564206980463,636.256268261373,2243.200078757755,145.26751142466313,10722.867999999997,3623.1384430364737,2913.722255681102,27789.507999999998,5895.985188522907,234.21577043824735,104.4937859992049,658.0925665200002,24.710272752427773,55.44342537164712
8.92,99.08342555392399,236.40060083,40.3988848660455,1014.8934958177413,61.28827962759615,194.69619999999995,155.5205158208182,604.2436839540127,2185.847220949476,136.48722300747113,10218.865499999998,3596.9420917097605,2729.3012414498535,26781.502999999997,5809.17956885966,219.5856103535891,104.31186349045801,640.6441877999999,24.559257219053457,54.79148528119404
8.92,102.69331556873601,268.45134428,42.945600330301595,1191.2622766668464,62.13603423362555,223.44529999999995,158.9672497138528,662.0187055984071,2366.2645082389454,150.45628207737997,11974.233,3687.664924575597,3140.007850068009,30505.958000000002,6114.991505409595,244.12837372871044,104.8533212301897,706.6368994,25.42072813151265,57.10094172855711
8.96,109.23209478903168,303.82246843,42.44054574837605,1355.1486629861904,65.44108223757739,220.70619999999994,194.63500506260536,823.8816532307743,2407.0733585326284,165.64934877443773,12234.8755,4118.102306273063,3900.808433836276,33837.53799999999,6815.2397803429485,272.9845261583744,124.85814374163368,873.7315709999998,25.152591391550526,64.38708500597212
