Activity,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,1658.257428393499,37.044318054055196,24.004108562636915,141.9459083283279,41.27225385002131,81.6629044972073
9.0,1680.0099135679407,38.97757185792876,24.69493854117658,219.34753195824067,40.78241768806961,96.21066939908484
7.64,1659.481440489254,30.50179756424201,20.432279872959747,166.138285959921,68.55106704106494,70.22186092307722
7.31,1734.329026261897,31.187211496060364,20.649488719071464,186.69716321886003,68.78631715239385,73.7529301722989
7.3,2205.148568188162,38.65308479500698,23.618965684868893,253.6120181711015,82.48599460838025,97.47564371934149
8.54,2373.618827141232,46.09113543459306,27.02669076346811,226.51769140984507,57.83697609947871,110.7727983396646
8.52,2243.200078757755,40.91885145834374,24.710272752427773,234.21577043824735,55.44342537164712,99.93325394732224
8.92,2185.847220949476,40.3988848660455,24.559257219053457,219.5856103535891,54.79148528119404,99.08342555392399
8.92,2366.2645082389454,42.945600330301595,25.42072813151265,244.12837372871044,57.10094172855711,102.69331556873601
8.96,2407.0733585326284,42.44054574837605,25.152591391550526,272.9845261583744,64.38708500597212,109.23209478903168
8.55,2189.8304455223374,42.09636548895879,25.442880288293395,224.18376411110168,55.508668765596745,101.5561951212234
9.22,2321.238151202674,41.456725215940544,24.870240865683307,302.7899415177045,81.96024117338209,102.5644933517443
8.0,2561.2683379364935,44.79418593790941,26.185668387590873,247.9118616511923,69.71204251201577,115.44696345655872
8.11,2575.4050380047615,46.40569686676412,26.76992012730529,301.21482180546195,71.1238473795553,119.2383817359159
7.92,2510.3862637789525,43.425395057730924,25.439040710344518,268.7571019480117,71.30593087055681,114.85176787276721
8.15,2182.781837946296,39.62962857673537,24.313891469394264,187.56046123515668,59.931643194833335,96.78279668215833
5.55,1318.2581580643791,27.590390168498885,19.513477942059566,96.99224083297173,66.69901347796775,60.0652486467841
6.07,1411.319627621447,28.34628963197829,19.751254602611326,110.30204965320146,67.02635098434203,62.27181449098781
6.37,1875.08245454621,32.514722410009895,21.070702411277548,177.94569187204294,79.89135147578962,81.14098397234284
6.7,1581.0945991059612,29.80062328878374,20.210351997433982,148.20648542226868,68.05736267898266,68.39162751389968
2.7,1292.47117710901,32.237751982109415,22.052551960385305,84.05630868818044,26.980444358077946,70.88264314343814
2.87,1387.2635883867922,32.88700593106645,22.239416663542077,98.02277348716156,27.779807506558143,72.76189857336048
4.96,1659.481440489254,30.50179756424201,20.432279872959747,166.138285959921,68.55106704106494,70.22186092307722
2.74,1581.0945991059612,29.80062328878374,20.210351997433982,148.20648542226868,68.05736267898266,68.39162751389968
2.96,1559.6593550119526,34.1485017476609,22.604004990912365,121.36000803108925,30.183247677702344,75.61163234912998
2.98,1639.071634701348,34.76208678805114,22.781969850914958,130.66199752293383,31.351156246550524,76.72189369078424
3.26,1857.0437215373527,36.54107547144719,23.29984333283908,169.16327509368492,51.59277099995083,89.44481138668691
3.35,1396.017814949286,29.780768152450328,20.387858001464778,121.04081199349312,26.995201522263994,67.50674099673306
3.38,1646.4875643850244,31.83931014485081,21.028939669036234,153.37281275576655,30.196439655062452,72.45640018314461
3.89,1721.9000608864555,32.49652561044026,21.234175598623825,161.28230624319806,31.363856992785948,73.61426459932883
3.22,1721.9000608864558,32.49652561044026,21.23417559862383,157.82616760210936,49.795223978181035,80.39654623178782
3.72,1794.1455737166452,33.1407103575044,21.435519057835872,166.5949013168648,50.232834464912486,82.05820757852317
4.28,1930.5427681612057,34.39290181854389,21.82723356024138,181.73092041830697,51.60085652052105,84.59535739920955
4.77,1734.329026261897,31.187211496060364,20.649488719071464,160.99562615912632,69.14547188958034,71.99896889886686
2.96,1383.8965622132057,24.043104549537688,17.389834514517673,82.667864670593,66.31741695436637,48.50487445092503
3.19,1581.0945991059612,29.80062328878374,20.210351997433982,145.66501969171293,68.05736267898264,68.39162751389968
3.48,1559.6593550119526,34.1485017476609,22.604004990912365,136.64135706597216,30.18262072192864,78.06362608795469
5.31,1714.8102937901906,35.3650276984198,22.957196920035898,155.98150446186267,32.40835276461758,80.72641934645682
5.62,1657.0395026318927,35.96956836577275,23.278009029568086,156.55558951435958,31.565339535686544,81.68457632564423
4.32,1640.3029016685364,35.87303067110444,23.5385225447577,127.57707194979496,39.3035377406941,78.90166025325449
7.92,2544.1649500341123,49.76626913804169,28.443887838160077,251.57078758149916,60.70045236520145,118.80551528864306
6.41,2377.287454929111,47.58599431145682,27.762678649961813,232.2242560961422,58.53318913549234,115.69943223715491
9.6,2862.1112562976696,51.838710604238614,28.904145582868434,331.91902746739646,84.50674547872296,136.6085242215873
8.46,2736.5762136302865,51.43745297854474,28.88996379025341,290.12683048946565,62.674004540602176,123.4112854361383
7.82,2678.7323052893557,50.1808917030178,28.458517592346503,296.38314798760183,61.7162300106627,123.69959322487685
7.92,2328.485043831946,45.0275842234513,26.494803745988076,246.03757209230736,42.539430620492325,102.28054132385104
7.0,2474.8078854262217,45.48542282083349,26.51166308567721,270.35673587055237,58.6624989656838,111.53025459712714
6.66,2474.8078854262217,45.48542282083349,26.51166308567721,270.35673587055237,58.6624989656838,111.53025459712714
7.44,2460.093180939183,43.840096730504605,25.915577641248014,205.24682836943217,62.91428004223864,102.9417041952386
9.31,2752.4842558933856,46.64385403072951,26.709738835167403,252.14665399725098,66.0991416479872,109.70232301606016
9.88,2752.4842558933856,46.64385403072951,26.709738835167403,266.29450462350235,76.44527825584176,115.70496910297327
9.05,2798.2473262646413,47.09492143628654,26.837589613902626,261.669333436164,76.91389422747474,116.43354284792677
9.28,2816.446260840241,47.11641730649733,26.846836616044296,317.2605203329924,98.36270887971772,116.48067960447348
9.28,2581.1386906111275,44.81678534377495,26.195381293794885,255.93031831326337,87.7352154449711,105.01339771010174
8.72,2581.1386906111275,44.81678534377495,26.195381293794885,255.93031831326337,87.7352154449711,105.01339771010174
8.59,2696.7564631304745,45.77263828708152,26.469331933337433,349.5903096988002,107.04196884254202,107.44858964462959
9.06,2463.6330420148774,45.409119902283955,26.713221844050675,211.43612675873882,62.732360139299495,104.78096272997306
7.8,2463.6330420148774,45.409119902283955,26.713221844050675,211.43612675873882,62.732360139299495,104.78096272997306
9.2,2696.7564631304745,45.77263828708152,26.469331933337436,361.2324254475325,106.95324243260687,108.63187478415348
8.97,2610.3857988661784,45.26368964291357,26.318649161100172,239.9183590926497,76.39075256128845,111.68560554126928
9.53,2610.3857988661784,45.26368964291357,26.318649161100172,223.3181615842301,64.6050021755245,105.37734356881465
9.53,2658.5959713594066,45.72837309964133,26.450299516134145,273.5162612784566,76.04844587442685,114.74512770754147
2.46,1669.9512762162585,34.79120337915893,22.794799373923777,173.29964574997507,68.9631451691091,77.84834688996291
4.11,1669.9512762162585,34.79120337915893,22.794799373923777,173.29964574997507,68.9631451691091,77.84834688996291
4.72,1447.0675632337625,28.381988841693246,19.768318297709683,145.94462225769115,91.07509722600032,62.29586849864122
5.1,1532.326026852494,29.117345292110677,20.000110085202813,162.96304945173685,91.31509547751399,64.30758238341727
3.27,1532.326026852494,29.117345292110677,20.000110085202813,162.96304945173685,91.31509547751399,64.30758238341727
2.14,1613.0844902161202,29.83458233510233,20.226650198353994,184.11928964110535,91.67803911061961,66.89334858190311
4.17,1532.326026852494,29.117345292110677,20.000110085202813,147.19932243940082,91.46879190383741,63.638865931127334
3.64,1694.7940377899286,33.183941835924195,21.622075620274323,163.5118227335777,73.57516001589406,80.62640309476791
6.12,1956.828255354386,34.42233069113711,21.84120889357651,227.72181769614593,82.66197112538774,90.13886067618115
7.19,2020.691797617722,35.03111982880364,22.031660661953218,239.70645776185023,82.92632150093552,91.54072385556057
6.44,2020.691797617722,35.03111982880364,22.031660661953218,239.70645776185023,82.92632150093552,91.54072385556057
5.34,2020.691797617722,35.03111982880364,22.031660661953218,228.2057074362125,83.09553554768473,91.07219240251108
7.46,2082.5978634786384,35.62950831417688,22.218875451713856,239.77798627399474,83.50037248783107,92.45452539762452
4.48,2082.5978634786384,35.62950831417688,22.218875451713856,239.77798627399474,83.50037248783107,92.45452539762452
