Activity,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,1122.5983339962586,24.004108562636915,98.55208210941986,37.044318054055196,81.6629044972073
9.0,1101.7339396077177,24.69493854117658,146.21731236945502,38.97757185792876,96.21066939908484
7.64,1114.9846323233883,20.432279872959747,114.5039223167868,30.50179756424201,70.22186092307722
7.31,1148.3061461383586,20.649488719071464,127.29549639489386,31.187211496060364,73.7529301722989
7.3,1343.879030010122,23.618965684868893,160.46762301072576,38.65308479500698,97.47564371934149
8.54,1400.6613893408266,27.02669076346811,135.8255312310981,46.09113543459306,110.7727983396646
8.52,1352.2730898297873,24.710272752427773,145.26751142466313,40.91885145834374,99.93325394732224
8.92,1328.521183573048,24.559257219053457,136.48722300747113,40.3988848660455,99.08342555392399
8.92,1399.879031927145,25.42072813151265,150.45628207737997,42.945600330301595,102.69331556873601
8.96,1418.9435314350842,25.152591391550526,165.64934877443773,42.44054574837605,109.23209478903168
8.55,1328.9556137070222,25.442880288293395,138.45793535167564,42.09636548895879,101.5561951212234
9.22,1389.964470003376,24.870240865683307,188.9746288056574,41.456725215940544,102.5644933517443
8.0,1494.0681716378788,26.185668387590873,147.2749458896052,44.79418593790941,115.44696345655872
8.11,1482.4159567252243,26.76992012730529,180.32080332357373,46.40569686676412,119.2383817359159
7.92,1460.127889924978,25.439040710344518,160.70526668026514,43.425395057730924,114.85176787276721
8.15,1345.6440279292674,24.313891469394264,117.58298842042117,39.62962857673537,96.78279668215833
5.55,956.113731426241,19.513477942059566,69.80231540895738,27.590390168498885,60.0652486467841
6.07,1000.6864127172288,19.751254602611326,78.09989182510638,28.34628963197829,62.27181449098781
6.37,1209.6938110896965,21.070702411277548,116.45979521903092,32.514722410009895,81.14098397234284
6.7,1079.5427277204933,20.210351997433982,102.488477458879,29.80062328878374,68.39162751389968
2.7,926.0197891913127,22.052551960385305,59.0920498409243,32.237751982109415,70.88264314343814
2.87,973.3281548424735,22.239416663542077,68.6324938196261,32.88700593106645,72.76189857336048
4.96,1114.9846323233883,20.432279872959747,114.5039223167868,30.50179756424201,70.22186092307722
2.74,1079.5427277204933,20.210351997433982,102.488477458879,29.80062328878374,68.39162751389968
2.96,1056.169750133596,22.604004990912365,84.26822936537289,34.1485017476609,75.61163234912998
2.98,1093.1189070353041,22.781969850914958,90.20954557794674,34.76208678805114,76.72189369078424
3.26,1191.198441279818,23.29984333283908,111.19002639953064,36.54107547144719,89.44481138668691
3.35,976.7679129056453,20.387858001464778,86.38697580945892,29.780768152450328,67.50674099673306
3.38,1095.848899115494,21.028939669036234,105.86531739014914,31.83931014485081,72.45640018314461
3.89,1130.2915857533676,21.234175598623825,110.31326901214473,32.49652561044026,73.61426459932883
3.22,1130.2915857533676,21.23417559862383,106.16046935973073,32.49652561044026,80.39654623178782
3.72,1162.754116548992,21.435519057835872,110.80368319937297,33.1407103575044,82.05820757852317
4.28,1222.735992833348,21.82723356024138,118.64716374405144,34.39290181854389,84.59535739920955
4.77,1148.3061461383586,20.649488719071464,109.59026150345052,31.187211496060364,71.99896889886686
2.96,995.0915662607708,17.389834514517673,59.91896407419241,24.043104549537688,48.50487445092503
3.19,1079.5427277204933,20.210351997433982,100.47456690039236,29.80062328878374,68.39162751389968
3.48,1056.169750133596,22.604004990912365,94.59301293782798,34.1485017476609,78.06362608795469
5.31,1127.7260059278133,22.957196920035898,106.07710621825484,35.3650276984198,80.72641934645682
5.62,1097.1248148797756,23.278009029568086,106.45074324926094,35.96956836577275,81.68457632564423
4.32,1118.7730979405133,23.5385225447577,89.59022484086381,35.87303067110444,78.90166025325449
7.92,1465.6928091013122,28.443887838160077,147.4641919748979,49.76626913804169,118.80551528864306
6.41,1401.0522405142372,27.762678649961813,137.53297430622882,47.58599431145682,115.69943223715491
9.6,1591.4191036771078,28.904145582868434,190.13598200195145,51.838710604238614,136.6085242215873
8.46,1541.196908380198,28.88996379025341,168.3734353935773,51.43745297854474,123.4112854361383
7.82,1520.9429226251582,28.458517592346503,172.13900839010495,50.1808917030178,123.69959322487685
7.92,1380.6830954997342,26.494803745988076,151.65109977514666,45.0275842234513,102.28054132385104
7.0,1442.5126088886118,26.51166308567721,161.70528775600363,45.48542282083349,111.53025459712714
6.66,1442.5126088886118,26.51166308567721,161.70528775600363,45.48542282083349,111.53025459712714
7.44,1454.8102398489439,25.915577641248014,125.14808111134744,43.840096730504605,102.9417041952386
9.31,1566.9281716382966,26.709738835167403,150.54501324959065,46.64385403072951,109.70232301606016
9.88,1566.9281716382966,26.709738835167403,158.95563241367492,46.64385403072951,115.70496910297327
9.05,1584.1200136201023,26.837589613902626,154.1673853020186,47.09492143628654,116.43354284792677
9.28,1595.2739671823515,26.846836616044296,193.64440998355815,47.11641730649733,116.48067960447348
9.28,1506.5904573014693,26.195381293794885,157.49473110969808,44.81678534377495,105.01339771010174
8.72,1506.5904573014693,26.195381293794885,157.49473110969808,44.81678534377495,105.01339771010174
8.59,1555.0368648873568,26.469331933337433,228.05117570998667,45.77263828708152,107.44858964462959
9.06,1455.1725479677839,26.713221844050675,128.7333540446334,45.409119902283955,104.78096272997306
7.8,1455.1725479677839,26.713221844050675,128.7333540446334,45.409119902283955,104.78096272997306
9.2,1555.0368648873566,26.469331933337436,233.33017053666998,45.77263828708152,108.63187478415348
8.97,1512.9463485867318,26.318649161100172,146.87856790648476,45.26368964291357,111.68560554126928
9.53,1512.9463485867318,26.318649161100172,135.8378095742703,45.26368964291357,105.37734356881465
9.53,1531.3648134380073,26.450299516134145,167.88065131565986,45.72837309964133,114.74512770754147
2.46,1116.2172010488825,22.794799373923777,121.26511938006665,34.79120337915893,77.84834688996291
4.11,1116.2172010488825,22.794799373923777,121.26511938006665,34.79120337915893,77.84834688996291
4.72,1028.078766634659,19.768318297709683,103.78854413275127,28.381988841693246,62.29586849864122
5.1,1066.9654194854202,20.000110085202813,114.96471162556757,29.117345292110677,64.30758238341727
3.27,1066.9654194854202,20.000110085202813,114.96471162556757,29.117345292110677,64.30758238341727
2.14,1103.2070669275263,20.226650198353994,129.59220518366521,29.83458233510233,66.89334858190311
4.17,1066.9654194854202,20.000110085202813,102.79625119488573,29.117345292110677,63.638865931127334
3.64,1122.6605827417043,21.622075620274323,108.33751970595091,33.183941835924195,80.62640309476791
6.12,1241.3061181865776,21.84120889357651,147.0569408334065,34.42233069113711,90.13886067618115
7.19,1268.4062881363202,22.031660661953218,153.62407995137758,35.03111982880364,91.54072385556057
6.44,1268.4062881363202,22.031660661953218,153.62407995137758,35.03111982880364,91.54072385556057
5.34,1268.4062881363202,22.031660661953218,146.26901669919818,35.03111982880364,91.07219240251108
7.46,1294.3954281735764,22.218875451713856,152.3309282069793,35.62950831417688,92.45452539762452
4.48,1294.3954281735764,22.218875451713856,152.3309282069793,35.62950831417688,92.45452539762452
