Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,2668.46223557841,380.75086812680667,55.836343007090015,41.27225385002131,1298.602980597656,269.2561360659322,32.82789831009999,82.56727108676455,6014.1709999999985,146.30089999999998,500.8623182792969,298.36068984,24.004108562636915,81.6629044972073,14694.437399999997,141.9459083283279,1658.257428393499
9.0,2839.2021770149195,628.4647591733835,62.187615209699366,40.78241768806961,2382.9307214179685,421.3194367158121,28.139996218638522,105.02349143668306,6562.225599999998,163.7514,846.226733185547,399.72824663999995,24.69493854117658,96.21066939908484,17604.845,219.34753195824067,1680.0099135679407
7.64,2530.4588124896004,428.44481789443364,49.050505516529704,68.55106704106494,1399.5618880000002,304.81551060752173,62.94270230227651,75.39910408071142,5772.2676999999985,109.92129999999999,569.4400800000001,260.24555816,20.432279872959747,70.22186092307722,12833.766999999998,166.138285959921,1659.481440489254
7.31,2746.975416584827,493.07788905840687,50.319267369939276,68.78631715239385,1691.2365320625,343.6938193509517,62.955818067585916,78.18703203724944,6276.270199999998,116.42379999999999,662.31948146875,282.47367271999997,20.649488719071464,73.7529301722989,14849.776999999998,186.69716321886003,1734.329026261897
7.3,3619.321004921604,699.0221455538546,60.64109009603223,82.48599460838025,3066.9944992931155,447.97672904429015,65.83090651106703,159.03959070619246,10179.667799999997,183.01649999999998,1137.1787448707198,657.8430293199999,23.618965684868893,97.47564371934149,26354.504,253.6120181711015,2205.148568188162
8.54,3675.2048462017765,612.5542518861757,66.24740610177557,57.83697609947871,3084.6520283516384,374.6907906880165,36.27120042543326,159.8881473060451,12238.2732,247.11249999999993,1172.6578587694028,727.4414055599998,27.02669076346811,110.7727983396646,31253.992000000002,226.51769140984507,2373.618827141232
8.52,3623.1384430364737,636.256268261373,61.48285010217771,55.44342537164712,2913.722255681102,400.87714434331554,35.563691280198974,156.52564206980463,10722.867999999997,201.19869999999995,1096.8716246386896,658.0925665200002,24.710272752427773,99.93325394732224,27789.507999999998,234.21577043824735,2243.200078757755
8.92,3596.9420917097605,604.2436839540127,61.28827962759615,54.79148528119404,2729.3012414498535,381.1923685037444,35.402394182423244,155.5205158208182,10218.865499999998,194.69619999999995,1014.8934958177413,640.6441877999999,24.559257219053457,99.08342555392399,26781.502999999997,219.5856103535891,2185.847220949476
8.92,3687.664924575597,662.0187055984071,62.13603423362555,57.10094172855711,3140.007850068009,414.96619938563794,35.950941969016014,158.9672497138528,11974.233,223.44529999999995,1191.2622766668464,706.6368994,25.42072813151265,102.69331556873601,30505.958000000002,244.12837372871044,2366.2645082389454
8.96,4118.102306273063,823.8816532307743,65.44108223757739,64.38708500597212,3900.808433836276,520.4291093516167,39.97666786951465,194.63500506260536,12234.8755,220.70619999999994,1355.1486629861904,873.7315709999998,25.152591391550526,109.23209478903168,33837.53799999999,272.9845261583744,2407.0733585326284
8.55,3650.3849024850315,623.7953098324994,62.66521148806405,55.508668765596745,2848.7208421904,391.3829379994046,35.96496158590133,160.28132433343328,10350.885599999998,206.52979999999994,1053.9797880480837,659.6263474,25.442880288293395,101.5561951212234,27297.403999999995,224.18376411110168,2189.8304455223374
9.22,3733.836316848946,815.8655582153875,62.38552998024147,81.96024117338209,3798.7249245568237,513.6592680866952,64.51736070064428,166.2883943479743,11319.6929,207.85509999999996,1424.0706510176346,734.0889702399999,24.870240865683307,102.5644933517443,29983.321999999996,302.7899415177045,2321.238151202674
8.0,4327.866225232816,726.9677232730112,68.07917299997499,69.71204251201577,3744.354908849396,439.73070707413405,42.71547425024511,206.38168295634296,13574.208500000002,243.83839999999995,1303.2108147501267,950.3311864799996,26.185668387590873,115.44696345655872,38539.4268,247.9118616511923,2561.2683379364935
8.11,4245.994731975482,859.7767797022084,69.30960624897119,71.1238473795553,4513.931980554596,517.424678439041,43.07840966127201,210.2004699045632,14122.263100000002,261.28889999999996,1601.118572771993,1033.2419151199997,26.76992012730529,119.2383817359159,39294.235,301.21482180546195,2575.4050380047615
7.92,4208.701959855615,781.1675900893554,67.52942290783024,71.30593087055681,3989.978754332734,473.68183772905587,43.34423583035612,210.85433038283895,13242.880500000003,233.71119999999993,1394.166947523137,1017.3534449199997,25.439040710344518,114.85176787276721,37377.454,268.7571019480117,2510.3862637789525
8.15,3673.329393472428,530.9691408158914,60.80658960330297,59.931643194833335,2333.5438293020256,339.25558801932203,39.997661469858066,162.7768453352415,9914.1709,186.48729999999998,849.424560977104,668.9364868399998,24.313891469394264,96.78279668215833,26363.810799999996,187.56046123515668,2182.781837946296
5.55,2022.4448637099583,222.75514367316921,44.867260801608516,66.69901347796775,634.51852475,165.01789338712737,62.771937706528256,64.57136466536652,3756.2577000000006,83.9113,283.9510423750001,186.86191704000004,19.513477942059566,60.0652486467841,8101.306999999999,96.99224083297173,1318.2581580643791
6.07,2174.5479444079765,262.28831124236524,45.89053391180466,67.02635098434203,774.8945950000001,191.33662181293448,62.79769274989507,65.69307603380621,4260.2602,90.4138,339.0041039375001,196.68203816000002,19.751254602611326,62.27181449098781,9109.312,110.30204965320146,1411.319627621447
6.37,3321.86414980736,492.12455270232607,53.51751404340992,79.89135147578962,1848.1658432351685,330.62922011513666,65.5316645716761,151.23736019322632,7284.275199999997,129.42879999999997,690.0606841872101,538.58197084,21.070702411277548,81.14098397234284,19189.361999999997,177.94569187204294,1875.08245454621
6.7,2389.454288194701,375.91092316112685,48.27651832589877,68.05736267898266,1206.5652112500002,268.13718967640284,62.895624578552926,72.9021049021589,5268.265199999999,103.41879999999999,495.64730487500003,245.00578216,20.210351997433982,68.39162751389968,11825.761999999999,148.20648542226868,1581.0945991059612
2.7,2169.194037976688,211.4240758782761,50.8416677914314,26.980444358077946,654.6577929375,152.49627499743224,19.693317693691252,61.33693720619342,3927.475500000001,107.4246,268.09988684375,191.53701944,22.052551960385305,70.88264314343814,9560.108,84.05630868818044,1292.47117710901
2.87,2303.1622874137324,250.05974984728348,51.6441609207177,27.779807506558143,792.513849125,179.00551269417275,19.951691409703784,62.51670952531182,4431.478,113.9271,322.0510172500001,201.35714055999998,22.239416663542077,72.76189857336048,10568.113,98.02277348716156,1387.2635883867922
4.96,2530.4588124896004,428.44481789443364,49.050505516529704,68.55106704106494,1399.5618880000002,304.81551060752173,62.94270230227651,75.39910408071142,5772.2676999999985,109.92129999999999,569.4400800000001,260.24555816,20.432279872959747,70.22186092307722,12833.766999999998,166.138285959921,1659.481440489254
2.74,2389.454288194701,375.91092316112685,48.27651832589877,68.05736267898266,1206.5652112500002,268.13718967640284,62.895624578552926,72.9021049021589,5268.265199999999,103.41879999999999,495.64730487500003,245.00578216,20.210351997433982,68.39162751389968,11825.761999999999,148.20648542226868,1581.0945991059612
2.96,2509.403606865237,310.30269407516727,52.58890661196682,30.183247677702344,1033.3052710625002,219.5437638931178,20.885643775381038,67.3252764329194,5439.482999999999,126.93209999999999,420.89076131249993,233.80466055999997,22.604004990912365,75.61163234912998,12584.123,121.36000803108925,1559.6593550119526
2.98,2562.4884972759487,332.832286201804,52.85268849591541,31.351156246550524,1136.103819761719,234.27530129197027,21.341192735168484,69.3760171738867,5943.485499999999,133.4346,465.0185349472658,250.77176231999997,22.781969850914958,76.72189369078424,13592.127999999999,130.66199752293383,1639.071634701348
3.26,3379.303457356439,482.1569669461345,57.92729620347919,51.59277099995083,1860.1639068105317,323.5304200703904,34.681583716637356,149.88494870834913,7455.492999999998,152.94209999999995,670.9877739055405,543.25707324,23.29984333283908,89.44481138668691,20648.162999999997,169.16327509368492,1857.0437215373527
3.35,2286.492847393357,318.6058564011808,48.08112403824545,26.995201522263994,964.8382893906253,231.65549238833066,19.112253753329828,61.77424734199726,4410.7978,99.5015,381.0150227421876,197.24572863999998,20.387858001464778,67.50674099673306,10421.289999999999,121.04081199349312,1396.017814949286
3.38,2598.6653853654225,407.37799897858184,50.023166515181856,30.196439655062452,1351.1966441406255,288.82190443966397,20.371573844756206,67.77818955287671,5922.805299999999,119.00899999999999,536.2325658671874,239.41070807999995,21.028939669036234,72.45640018314461,13445.305,153.37281275576655,1646.4875643850244
3.89,2648.2677968530515,426.7504136739306,50.3144667804951,31.363856992785948,1454.64867925,300.313605114971,20.849618462369687,69.81562784368623,6426.807799999999,125.51149999999998,580.5732225625002,256.37780984,21.234175598623825,73.61426459932883,14453.31,161.28230624319806,1721.9000608864555
3.22,3270.049566730981,454.818573303691,53.358687733155605,49.795223978181035,1618.8048157693486,312.2386810619441,34.08345978185739,146.19876830438946,6426.807799999998,125.51149999999998,579.6673465333254,490.82191731999995,21.23417559862383,80.39654623178782,17784.89,157.82616760210936,1721.9000608864558
3.72,3331.5521490827355,477.3925927247277,54.0887817107883,50.232834464912486,1751.5948545962522,323.8398506140436,34.17063116042957,146.72356411020505,6930.810299999997,132.01399999999998,631.962145426941,500.53937676,21.435519057835872,82.05820757852317,18792.894999999997,166.5949013168648,1794.1455737166452
4.28,3435.906182311889,513.8852313145782,54.95205915376767,51.60085652052105,1985.1049298107296,342.3764105329148,34.500968411276254,148.8351611619915,7938.815299999997,145.01899999999995,728.4108767431335,532.98689676,21.82723356024138,84.59535739920955,20808.905,181.73092041830697,1930.5427681612057
4.77,2429.1079210219814,411.946729436374,49.47148394581421,69.14547188958034,1392.3549854101564,290.2075674633797,63.0053714858271,74.67762571607261,6276.270199999998,116.42379999999999,572.0425914931641,269.3692276,20.649488719071464,71.99896889886686,13349.667999999998,160.99562615912632,1734.329026261897
