Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,55.836343007090015,41.27225385002131,1122.5983339962586,24.004108562636915,81.6629044972073
9.0,62.187615209699366,40.78241768806961,1101.7339396077177,24.69493854117658,96.21066939908484
7.64,49.050505516529704,68.55106704106494,1114.9846323233883,20.432279872959747,70.22186092307722
7.31,50.319267369939276,68.78631715239385,1148.3061461383586,20.649488719071464,73.7529301722989
7.3,60.64109009603223,82.48599460838025,1343.879030010122,23.618965684868893,97.47564371934149
8.54,66.24740610177557,57.83697609947871,1400.6613893408266,27.02669076346811,110.7727983396646
8.52,61.48285010217771,55.44342537164712,1352.2730898297873,24.710272752427773,99.93325394732224
8.92,61.28827962759615,54.79148528119404,1328.521183573048,24.559257219053457,99.08342555392399
8.92,62.13603423362555,57.10094172855711,1399.879031927145,25.42072813151265,102.69331556873601
8.96,65.44108223757739,64.38708500597212,1418.9435314350842,25.152591391550526,109.23209478903168
8.55,62.66521148806405,55.508668765596745,1328.9556137070222,25.442880288293395,101.5561951212234
9.22,62.38552998024147,81.96024117338209,1389.964470003376,24.870240865683307,102.5644933517443
8.0,68.07917299997499,69.71204251201577,1494.0681716378788,26.185668387590873,115.44696345655872
8.11,69.30960624897119,71.1238473795553,1482.4159567252243,26.76992012730529,119.2383817359159
7.92,67.52942290783024,71.30593087055681,1460.127889924978,25.439040710344518,114.85176787276721
8.15,60.80658960330297,59.931643194833335,1345.6440279292674,24.313891469394264,96.78279668215833
5.55,44.867260801608516,66.69901347796775,956.113731426241,19.513477942059566,60.0652486467841
6.07,45.89053391180466,67.02635098434203,1000.6864127172288,19.751254602611326,62.27181449098781
6.37,53.51751404340992,79.89135147578962,1209.6938110896965,21.070702411277548,81.14098397234284
6.7,48.27651832589877,68.05736267898266,1079.5427277204933,20.210351997433982,68.39162751389968
2.7,50.8416677914314,26.980444358077946,926.0197891913127,22.052551960385305,70.88264314343814
2.87,51.6441609207177,27.779807506558143,973.3281548424735,22.239416663542077,72.76189857336048
4.96,49.050505516529704,68.55106704106494,1114.9846323233883,20.432279872959747,70.22186092307722
2.74,48.27651832589877,68.05736267898266,1079.5427277204933,20.210351997433982,68.39162751389968
2.96,52.58890661196682,30.183247677702344,1056.169750133596,22.604004990912365,75.61163234912998
2.98,52.85268849591541,31.351156246550524,1093.1189070353041,22.781969850914958,76.72189369078424
3.26,57.92729620347919,51.59277099995083,1191.198441279818,23.29984333283908,89.44481138668691
3.35,48.08112403824545,26.995201522263994,976.7679129056453,20.387858001464778,67.50674099673306
3.38,50.023166515181856,30.196439655062452,1095.848899115494,21.028939669036234,72.45640018314461
3.89,50.3144667804951,31.363856992785948,1130.2915857533676,21.234175598623825,73.61426459932883
3.22,53.358687733155605,49.795223978181035,1130.2915857533676,21.23417559862383,80.39654623178782
3.72,54.0887817107883,50.232834464912486,1162.754116548992,21.435519057835872,82.05820757852317
4.28,54.95205915376767,51.60085652052105,1222.735992833348,21.82723356024138,84.59535739920955
4.77,49.47148394581421,69.14547188958034,1148.3061461383586,20.649488719071464,71.99896889886686
2.96,37.50220281618735,66.31741695436637,995.0915662607708,17.389834514517673,48.50487445092503
3.19,48.27651832589877,68.05736267898264,1079.5427277204933,20.210351997433982,68.39162751389968
3.48,53.55611267954138,30.18262072192864,1056.169750133596,22.604004990912365,78.06362608795469
5.31,54.436233474934134,32.40835276461758,1127.7260059278133,22.957196920035898,80.72641934645682
5.62,54.8541518148425,31.565339535686544,1097.1248148797756,23.278009029568086,81.68457632564423
4.32,54.46917902125624,39.3035377406941,1118.7730979405133,23.5385225447577,78.90166025325449
7.92,69.45726764280516,60.70045236520145,1465.6928091013122,28.443887838160077,118.80551528864306
6.41,68.78147191715351,58.53318913549234,1401.0522405142372,27.762678649961813,115.69943223715491
9.6,76.31664935997044,84.50674547872296,1591.4191036771078,28.904145582868434,136.6085242215873
8.46,70.81711893956812,62.674004540602176,1541.196908380198,28.88996379025341,123.4112854361383
7.82,71.22589421152014,61.7162300106627,1520.9429226251582,28.458517592346503,123.69959322487685
7.92,62.42598066972487,42.539430620492325,1380.6830954997342,26.494803745988076,102.28054132385104
7.0,66.20827955757666,58.6624989656838,1442.5126088886118,26.51166308567721,111.53025459712714
6.66,66.20827955757666,58.6624989656838,1442.5126088886118,26.51166308567721,111.53025459712714
7.44,62.56580792365542,62.91428004223864,1454.8102398489439,25.915577641248014,102.9417041952386
9.31,64.51774330082581,66.0991416479872,1566.9281716382966,26.709738835167403,109.70232301606016
9.88,67.30211669017416,76.44527825584176,1566.9281716382966,26.709738835167403,115.70496910297327
9.05,67.46359373330417,76.91389422747474,1584.1200136201023,26.837589613902626,116.43354284792677
9.28,67.48716417439292,98.36270887971772,1595.2739671823515,26.846836616044296,116.48067960447348
9.28,63.22928489047573,87.7352154449711,1506.5904573014693,26.195381293794885,105.01339771010174
8.72,63.22928489047573,87.7352154449711,1506.5904573014693,26.195381293794885,105.01339771010174
8.59,64.29191330995288,107.04196884254202,1555.0368648873568,26.469331933337433,107.44858964462959
9.06,63.306605735919675,62.732360139299495,1455.1725479677839,26.713221844050675,104.78096272997306
7.8,63.306605735919675,62.732360139299495,1455.1725479677839,26.713221844050675,104.78096272997306
9.2,64.60550454311881,106.95324243260687,1555.0368648873566,26.469331933337436,108.63187478415348
8.97,66.1105816318643,76.39075256128845,1512.9463485867318,26.318649161100172,111.68560554126928
9.53,63.1227330969079,64.6050021755245,1512.9463485867318,26.318649161100172,105.37734356881465
9.53,67.48652512614598,76.04844587442685,1531.3648134380073,26.450299516134145,114.74512770754147
2.46,53.83820455161984,68.9631451691091,1116.2172010488825,22.794799373923777,77.84834688996291
4.11,53.83820455161984,68.9631451691091,1116.2172010488825,22.794799373923777,77.84834688996291
4.72,45.898266690101835,91.07509722600032,1028.078766634659,19.768318297709683,62.29586849864122
5.1,46.759766695785025,91.31509547751399,1066.9654194854202,20.000110085202813,64.30758238341727
3.27,46.759766695785025,91.31509547751399,1066.9654194854202,20.000110085202813,64.30758238341727
2.14,48.31090636938541,91.67803911061961,1103.2070669275263,20.226650198353994,66.89334858190311
4.17,46.24369100208818,91.46879190383741,1066.9654194854202,20.000110085202813,63.638865931127334
3.64,53.90666904354346,73.57516001589406,1122.6605827417043,21.622075620274323,80.62640309476791
6.12,57.90751261259404,82.66197112538774,1241.3061181865776,21.84120889357651,90.13886067618115
7.19,58.453790489045105,82.92632150093552,1268.4062881363202,22.031660661953218,91.54072385556057
6.44,58.453790489045105,82.92632150093552,1268.4062881363202,22.031660661953218,91.54072385556057
5.34,58.12533743900402,83.09553554768473,1268.4062881363202,22.031660661953218,91.07219240251108
7.46,58.662874888800545,83.50037248783107,1294.3954281735764,22.218875451713856,92.45452539762452
4.48,58.662874888800545,83.50037248783107,1294.3954281735764,22.218875451713856,92.45452539762452
