Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,2668.46223557841,55.836343007090015,41.27225385002131,269.2561360659322,82.56727108676455,6014.1709999999985,500.8623182792969,1658.257428393499,57.92706976236028,32.82789831009999,14694.437399999997,301.3499999999999,37.044318054055196,1298.602980597656,98.55208210941986,298.36068984,81.6629044972073,24.004108562636915,141.9459083283279
9.0,2839.2021770149195,62.187615209699366,40.78241768806961,421.3194367158121,105.02349143668306,6562.225599999998,846.226733185547,1680.0099135679407,71.72114188754168,28.139996218638522,17604.845,393.4861999999999,38.97757185792876,2382.9307214179685,146.21731236945502,399.72824663999995,96.21066939908484,24.69493854117658,219.34753195824067
7.64,2530.4588124896004,49.050505516529704,68.55106704106494,304.81551060752173,75.39910408071142,5772.2676999999985,569.4400800000001,1659.481440489254,51.461518398282365,62.94270230227651,12833.766999999998,238.42499999999995,30.50179756424201,1399.5618880000002,114.5039223167868,260.24555816,70.22186092307722,20.432279872959747,166.138285959921
7.31,2746.975416584827,50.319267369939276,68.78631715239385,343.6938193509517,78.18703203724944,6276.270199999998,662.31948146875,1734.329026261897,52.65354408486567,62.955818067585916,14849.776999999998,264.435,31.187211496060364,1691.2365320625,127.29549639489386,282.47367271999997,73.7529301722989,20.649488719071464,186.69716321886003
7.3,3619.321004921604,60.64109009603223,82.48599460838025,447.97672904429015,159.03959070619246,10179.667799999997,1137.1787448707198,2205.148568188162,105.69417557341862,65.83090651106703,26354.504,447.5759999999999,38.65308479500698,3066.9944992931155,160.46762301072576,657.8430293199999,97.47564371934149,23.618965684868893,253.6120181711015
8.54,3675.2048462017765,66.24740610177557,57.83697609947871,374.6907906880165,159.8881473060451,12238.2732,1172.6578587694028,2373.618827141232,105.04548299758798,36.27120042543326,31253.992000000002,579.156,46.09113543459306,3084.6520283516384,135.8255312310981,727.4414055599998,110.7727983396646,27.02669076346811,226.51769140984507
8.52,3623.1384430364737,61.48285010217771,55.44342537164712,400.87714434331554,156.52564206980463,10722.867999999997,1096.8716246386896,2243.200078757755,104.4937859992049,35.563691280198974,27789.507999999998,477.97199999999987,40.91885145834374,2913.722255681102,145.26751142466313,658.0925665200002,99.93325394732224,24.710272752427773,234.21577043824735
8.92,3596.9420917097605,61.28827962759615,54.79148528119404,381.1923685037444,155.5205158208182,10218.865499999998,1014.8934958177413,2185.847220949476,104.31186349045801,35.402394182423244,26781.502999999997,464.96699999999987,40.3988848660455,2729.3012414498535,136.48722300747113,640.6441877999999,99.08342555392399,24.559257219053457,219.5856103535891
8.92,3687.664924575597,62.13603423362555,57.10094172855711,414.96619938563794,158.9672497138528,11974.233,1191.2622766668464,2366.2645082389454,104.8533212301897,35.950941969016014,30505.958000000002,519.4859999999999,42.945600330301595,3140.007850068009,150.45628207737997,706.6368994,102.69331556873601,25.42072813151265,244.12837372871044
8.96,4118.102306273063,65.44108223757739,64.38708500597212,520.4291093516167,194.63500506260536,12234.8755,1355.1486629861904,2407.0733585326284,124.85814374163368,39.97666786951465,33837.53799999999,556.002,42.44054574837605,3900.808433836276,165.64934877443773,873.7315709999998,109.23209478903168,25.152591391550526,272.9845261583744
8.55,3650.3849024850315,62.66521148806405,55.508668765596745,391.3829379994046,160.28132433343328,10350.885599999998,1053.9797880480837,2189.8304455223374,108.15229549287595,35.96496158590133,27297.403999999995,482.51099999999985,42.09636548895879,2848.7208421904,138.45793535167564,659.6263474,101.5561951212234,25.442880288293395,224.18376411110168
9.22,3733.836316848946,62.38552998024147,81.96024117338209,513.6592680866952,166.2883943479743,11319.6929,1424.0706510176346,2321.238151202674,108.03495815148254,64.51736070064428,29983.321999999996,504.28799999999984,41.456725215940544,3798.7249245568237,188.9746288056574,734.0889702399999,102.5644933517443,24.870240865683307,302.7899415177045
8.0,4327.866225232816,68.07917299997499,69.71204251201577,439.73070707413405,206.38168295634296,13574.208500000002,1303.2108147501267,2561.2683379364935,129.6800892576781,42.71547425024511,38539.4268,619.0026000000001,44.79418593790941,3744.354908849396,147.2749458896052,950.3311864799996,115.44696345655872,26.185668387590873,247.9118616511923
8.11,4245.994731975482,69.30960624897119,71.1238473795553,517.424678439041,210.2004699045632,14122.263100000002,1601.118572771993,2575.4050380047615,130.31255857231224,43.07840966127201,39294.235,661.1130000000002,46.40569686676412,4513.931980554596,180.32080332357373,1033.2419151199997,119.2383817359159,26.76992012730529,301.21482180546195
7.92,4208.701959855615,67.52942290783024,71.30593087055681,473.68183772905587,210.85433038283895,13242.880500000003,1394.166947523137,2510.3862637789525,130.69831946298717,43.34423583035612,37377.454,612.5610000000001,43.425395057730924,3989.978754332734,160.70526668026514,1017.3534449199997,114.85176787276721,25.439040710344518,268.7571019480117
8.15,3673.329393472428,60.80658960330297,59.931643194833335,339.25558801932203,162.7768453352415,9914.1709,849.424560977104,2182.781837946296,108.18642583895642,39.997661469858066,26363.810799999996,440.5067999999999,39.62962857673537,2333.5438293020256,117.58298842042117,668.9364868399998,96.78279668215833,24.313891469394264,187.56046123515668
5.55,2022.4448637099583,44.867260801608516,66.69901347796775,165.01789338712737,64.57136466536652,3756.2577000000006,283.9510423750001,1318.2581580643791,46.89676520120246,62.771937706528256,8101.306999999999,170.90099999999995,27.590390168498885,634.51852475,69.80231540895738,186.86191704000004,60.0652486467841,19.513477942059566,96.99224083297173
6.07,2174.5479444079765,45.89053391180466,67.02635098434203,191.33662181293448,65.69307603380621,4260.2602,339.0041039375001,1411.319627621447,47.32677369129971,62.79769274989507,9109.312,183.90599999999995,28.34628963197829,774.8945950000001,78.09989182510638,196.68203816000002,62.27181449098781,19.751254602611326,110.30204965320146
6.37,3321.86414980736,53.51751404340992,79.89135147578962,330.62922011513666,151.23736019322632,7284.275199999997,690.0606841872101,1875.08245454621,103.94848537465445,65.5316645716761,19189.361999999997,313.9559999999999,32.514722410009895,1848.1658432351685,116.45979521903092,538.58197084,81.14098397234284,21.070702411277548,177.94569187204294
