Activity,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,55.836343007090015,98.55208210941986,37.044318054055196,24.004108562636915,1122.5983339962586
9.0,62.187615209699366,146.21731236945502,38.97757185792876,24.69493854117658,1101.7339396077177
7.64,49.050505516529704,114.5039223167868,30.50179756424201,20.432279872959747,1114.9846323233883
7.31,50.319267369939276,127.29549639489386,31.187211496060364,20.649488719071464,1148.3061461383586
7.3,60.64109009603223,160.46762301072576,38.65308479500698,23.618965684868893,1343.879030010122
8.54,66.24740610177557,135.8255312310981,46.09113543459306,27.02669076346811,1400.6613893408266
8.52,61.48285010217771,145.26751142466313,40.91885145834374,24.710272752427773,1352.2730898297873
8.92,61.28827962759615,136.48722300747113,40.3988848660455,24.559257219053457,1328.521183573048
8.92,62.13603423362555,150.45628207737997,42.945600330301595,25.42072813151265,1399.879031927145
8.96,65.44108223757739,165.64934877443773,42.44054574837605,25.152591391550526,1418.9435314350842
8.55,62.66521148806405,138.45793535167564,42.09636548895879,25.442880288293395,1328.9556137070222
9.22,62.38552998024147,188.9746288056574,41.456725215940544,24.870240865683307,1389.964470003376
8.0,68.07917299997499,147.2749458896052,44.79418593790941,26.185668387590873,1494.0681716378788
8.11,69.30960624897119,180.32080332357373,46.40569686676412,26.76992012730529,1482.4159567252243
7.92,67.52942290783024,160.70526668026514,43.425395057730924,25.439040710344518,1460.127889924978
8.15,60.80658960330297,117.58298842042117,39.62962857673537,24.313891469394264,1345.6440279292674
5.55,44.867260801608516,69.80231540895738,27.590390168498885,19.513477942059566,956.113731426241
6.07,45.89053391180466,78.09989182510638,28.34628963197829,19.751254602611326,1000.6864127172288
6.37,53.51751404340992,116.45979521903092,32.514722410009895,21.070702411277548,1209.6938110896965
6.7,48.27651832589877,102.488477458879,29.80062328878374,20.210351997433982,1079.5427277204933
2.7,50.8416677914314,59.0920498409243,32.237751982109415,22.052551960385305,926.0197891913127
2.87,51.6441609207177,68.6324938196261,32.88700593106645,22.239416663542077,973.3281548424735
4.96,49.050505516529704,114.5039223167868,30.50179756424201,20.432279872959747,1114.9846323233883
2.74,48.27651832589877,102.488477458879,29.80062328878374,20.210351997433982,1079.5427277204933
2.96,52.58890661196682,84.26822936537289,34.1485017476609,22.604004990912365,1056.169750133596
2.98,52.85268849591541,90.20954557794674,34.76208678805114,22.781969850914958,1093.1189070353041
3.26,57.92729620347919,111.19002639953064,36.54107547144719,23.29984333283908,1191.198441279818
3.35,48.08112403824545,86.38697580945892,29.780768152450328,20.387858001464778,976.7679129056453
3.38,50.023166515181856,105.86531739014914,31.83931014485081,21.028939669036234,1095.848899115494
3.89,50.3144667804951,110.31326901214473,32.49652561044026,21.234175598623825,1130.2915857533676
3.22,53.358687733155605,106.16046935973073,32.49652561044026,21.23417559862383,1130.2915857533676
3.72,54.0887817107883,110.80368319937297,33.1407103575044,21.435519057835872,1162.754116548992
4.28,54.95205915376767,118.64716374405144,34.39290181854389,21.82723356024138,1222.735992833348
4.77,49.47148394581421,109.59026150345052,31.187211496060364,20.649488719071464,1148.3061461383586
2.96,37.50220281618735,59.91896407419241,24.043104549537688,17.389834514517673,995.0915662607708
3.19,48.27651832589877,100.47456690039236,29.80062328878374,20.210351997433982,1079.5427277204933
3.48,53.55611267954138,94.59301293782798,34.1485017476609,22.604004990912365,1056.169750133596
5.31,54.436233474934134,106.07710621825484,35.3650276984198,22.957196920035898,1127.7260059278133
5.62,54.8541518148425,106.45074324926094,35.96956836577275,23.278009029568086,1097.1248148797756
4.32,54.46917902125624,89.59022484086381,35.87303067110444,23.5385225447577,1118.7730979405133
7.92,69.45726764280516,147.4641919748979,49.76626913804169,28.443887838160077,1465.6928091013122
