Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,41.27225385002131,141.9459083283279,37.044318054055196,81.6629044972073,1658.257428393499,24.004108562636915
9.0,40.78241768806961,219.34753195824067,38.97757185792876,96.21066939908484,1680.0099135679407,24.69493854117658
7.64,68.55106704106494,166.138285959921,30.50179756424201,70.22186092307722,1659.481440489254,20.432279872959747
7.31,68.78631715239385,186.69716321886003,31.187211496060364,73.7529301722989,1734.329026261897,20.649488719071464
7.3,82.48599460838025,253.6120181711015,38.65308479500698,97.47564371934149,2205.148568188162,23.618965684868893
8.54,57.83697609947871,226.51769140984507,46.09113543459306,110.7727983396646,2373.618827141232,27.02669076346811
8.52,55.44342537164712,234.21577043824735,40.91885145834374,99.93325394732224,2243.200078757755,24.710272752427773
8.92,54.79148528119404,219.5856103535891,40.3988848660455,99.08342555392399,2185.847220949476,24.559257219053457
8.92,57.10094172855711,244.12837372871044,42.945600330301595,102.69331556873601,2366.2645082389454,25.42072813151265
8.96,64.38708500597212,272.9845261583744,42.44054574837605,109.23209478903168,2407.0733585326284,25.152591391550526
8.55,55.508668765596745,224.18376411110168,42.09636548895879,101.5561951212234,2189.8304455223374,25.442880288293395
9.22,81.96024117338209,302.7899415177045,41.456725215940544,102.5644933517443,2321.238151202674,24.870240865683307
8.0,69.71204251201577,247.9118616511923,44.79418593790941,115.44696345655872,2561.2683379364935,26.185668387590873
8.11,71.1238473795553,301.21482180546195,46.40569686676412,119.2383817359159,2575.4050380047615,26.76992012730529
7.92,71.30593087055681,268.7571019480117,43.425395057730924,114.85176787276721,2510.3862637789525,25.439040710344518
8.15,59.931643194833335,187.56046123515668,39.62962857673537,96.78279668215833,2182.781837946296,24.313891469394264
5.55,66.69901347796775,96.99224083297173,27.590390168498885,60.0652486467841,1318.2581580643791,19.513477942059566
6.07,67.02635098434203,110.30204965320146,28.34628963197829,62.27181449098781,1411.319627621447,19.751254602611326
6.37,79.89135147578962,177.94569187204294,32.514722410009895,81.14098397234284,1875.08245454621,21.070702411277548
6.7,68.05736267898266,148.20648542226868,29.80062328878374,68.39162751389968,1581.0945991059612,20.210351997433982
2.7,26.980444358077946,84.05630868818044,32.237751982109415,70.88264314343814,1292.47117710901,22.052551960385305
2.87,27.779807506558143,98.02277348716156,32.88700593106645,72.76189857336048,1387.2635883867922,22.239416663542077
4.96,68.55106704106494,166.138285959921,30.50179756424201,70.22186092307722,1659.481440489254,20.432279872959747
2.74,68.05736267898266,148.20648542226868,29.80062328878374,68.39162751389968,1581.0945991059612,20.210351997433982
2.96,30.183247677702344,121.36000803108925,34.1485017476609,75.61163234912998,1559.6593550119526,22.604004990912365
2.98,31.351156246550524,130.66199752293383,34.76208678805114,76.72189369078424,1639.071634701348,22.781969850914958
3.26,51.59277099995083,169.16327509368492,36.54107547144719,89.44481138668691,1857.0437215373527,23.29984333283908
3.35,26.995201522263994,121.04081199349312,29.780768152450328,67.50674099673306,1396.017814949286,20.387858001464778
3.38,30.196439655062452,153.37281275576655,31.83931014485081,72.45640018314461,1646.4875643850244,21.028939669036234
3.89,31.363856992785948,161.28230624319806,32.49652561044026,73.61426459932883,1721.9000608864555,21.234175598623825
3.22,49.795223978181035,157.82616760210936,32.49652561044026,80.39654623178782,1721.9000608864558,21.23417559862383
3.72,50.232834464912486,166.5949013168648,33.1407103575044,82.05820757852317,1794.1455737166452,21.435519057835872
4.28,51.60085652052105,181.73092041830697,34.39290181854389,84.59535739920955,1930.5427681612057,21.82723356024138
4.77,69.14547188958034,160.99562615912632,31.187211496060364,71.99896889886686,1734.329026261897,20.649488719071464
2.96,66.31741695436637,82.667864670593,24.043104549537688,48.50487445092503,1383.8965622132057,17.389834514517673
3.19,68.05736267898264,145.66501969171293,29.80062328878374,68.39162751389968,1581.0945991059612,20.210351997433982
3.48,30.18262072192864,136.64135706597216,34.1485017476609,78.06362608795469,1559.6593550119526,22.604004990912365
5.31,32.40835276461758,155.98150446186267,35.3650276984198,80.72641934645682,1714.8102937901906,22.957196920035898
5.62,31.565339535686544,156.55558951435958,35.96956836577275,81.68457632564423,1657.0395026318927,23.278009029568086
4.32,39.3035377406941,127.57707194979496,35.87303067110444,78.90166025325449,1640.3029016685364,23.5385225447577
7.92,60.70045236520145,251.57078758149916,49.76626913804169,118.80551528864306,2544.1649500341123,28.443887838160077
6.41,58.53318913549234,232.2242560961422,47.58599431145682,115.69943223715491,2377.287454929111,27.762678649961813
9.6,84.50674547872296,331.91902746739646,51.838710604238614,136.6085242215873,2862.1112562976696,28.904145582868434
8.46,62.674004540602176,290.12683048946565,51.43745297854474,123.4112854361383,2736.5762136302865,28.88996379025341
7.82,61.7162300106627,296.38314798760183,50.1808917030178,123.69959322487685,2678.7323052893557,28.458517592346503
7.92,42.539430620492325,246.03757209230736,45.0275842234513,102.28054132385104,2328.485043831946,26.494803745988076
7.0,58.6624989656838,270.35673587055237,45.48542282083349,111.53025459712714,2474.8078854262217,26.51166308567721
6.66,58.6624989656838,270.35673587055237,45.48542282083349,111.53025459712714,2474.8078854262217,26.51166308567721
7.44,62.91428004223864,205.24682836943217,43.840096730504605,102.9417041952386,2460.093180939183,25.915577641248014
9.31,66.0991416479872,252.14665399725098,46.64385403072951,109.70232301606016,2752.4842558933856,26.709738835167403
9.88,76.44527825584176,266.29450462350235,46.64385403072951,115.70496910297327,2752.4842558933856,26.709738835167403
9.05,76.91389422747474,261.669333436164,47.09492143628654,116.43354284792677,2798.2473262646413,26.837589613902626
9.28,98.36270887971772,317.2605203329924,47.11641730649733,116.48067960447348,2816.446260840241,26.846836616044296
9.28,87.7352154449711,255.93031831326337,44.81678534377495,105.01339771010174,2581.1386906111275,26.195381293794885
