Activity,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,98.55208210941986,1122.5983339962586,24.004108562636915,81.6629044972073,37.044318054055196
9.0,146.21731236945502,1101.7339396077177,24.69493854117658,96.21066939908484,38.97757185792876
7.64,114.5039223167868,1114.9846323233883,20.432279872959747,70.22186092307722,30.50179756424201
7.31,127.29549639489386,1148.3061461383586,20.649488719071464,73.7529301722989,31.187211496060364
7.3,160.46762301072576,1343.879030010122,23.618965684868893,97.47564371934149,38.65308479500698
8.54,135.8255312310981,1400.6613893408266,27.02669076346811,110.7727983396646,46.09113543459306
8.52,145.26751142466313,1352.2730898297873,24.710272752427773,99.93325394732224,40.91885145834374
8.92,136.48722300747113,1328.521183573048,24.559257219053457,99.08342555392399,40.3988848660455
8.92,150.45628207737997,1399.879031927145,25.42072813151265,102.69331556873601,42.945600330301595
8.96,165.64934877443773,1418.9435314350842,25.152591391550526,109.23209478903168,42.44054574837605
8.55,138.45793535167564,1328.9556137070222,25.442880288293395,101.5561951212234,42.09636548895879
9.22,188.9746288056574,1389.964470003376,24.870240865683307,102.5644933517443,41.456725215940544
8.0,147.2749458896052,1494.0681716378788,26.185668387590873,115.44696345655872,44.79418593790941
8.11,180.32080332357373,1482.4159567252243,26.76992012730529,119.2383817359159,46.40569686676412
7.92,160.70526668026514,1460.127889924978,25.439040710344518,114.85176787276721,43.425395057730924
8.15,117.58298842042117,1345.6440279292674,24.313891469394264,96.78279668215833,39.62962857673537
5.55,69.80231540895738,956.113731426241,19.513477942059566,60.0652486467841,27.590390168498885
6.07,78.09989182510638,1000.6864127172288,19.751254602611326,62.27181449098781,28.34628963197829
6.37,116.45979521903092,1209.6938110896965,21.070702411277548,81.14098397234284,32.514722410009895
6.7,102.488477458879,1079.5427277204933,20.210351997433982,68.39162751389968,29.80062328878374
2.7,59.0920498409243,926.0197891913127,22.052551960385305,70.88264314343814,32.237751982109415
2.87,68.6324938196261,973.3281548424735,22.239416663542077,72.76189857336048,32.88700593106645
4.96,114.5039223167868,1114.9846323233883,20.432279872959747,70.22186092307722,30.50179756424201
2.74,102.488477458879,1079.5427277204933,20.210351997433982,68.39162751389968,29.80062328878374
