Activity,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,32.82789831009999,269.2561360659322,380.75086812680667,24.004108562636915,301.3499999999999,500.8623182792969,98.55208210941986,2668.46223557841,81.6629044972073,127.05139518999997,3965.385526119835,6014.1709999999985,55.836343007090015,298.36068984,57.92706976236028,141.9459083283279,1658.257428393499,41.27225385002131,37.044318054055196
9.0,28.139996218638522,421.3194367158121,628.4647591733835,24.69493854117658,393.4861999999999,846.226733185547,146.21731236945502,2839.2021770149195,96.21066939908484,148.66076701999998,4381.833280793953,6562.225599999998,62.187615209699366,399.72824663999995,71.72114188754168,219.34753195824067,1680.0099135679407,40.78241768806961,38.97757185792876
7.64,62.94270230227651,304.81551060752173,428.44481789443364,20.432279872959747,238.42499999999995,569.4400800000001,114.5039223167868,2530.4588124896004,70.22186092307722,156.34935581999997,3710.545956333448,5772.2676999999985,49.050505516529704,260.24555816,51.461518398282365,166.138285959921,1659.481440489254,68.55106704106494,30.50179756424201
7.31,62.955818067585916,343.6938193509517,493.07788905840687,20.649488719071464,264.435,662.31948146875,127.29549639489386,2746.975416584827,73.7529301722989,162.21306158,4106.236764288257,6276.270199999998,50.319267369939276,282.47367271999997,52.65354408486567,186.69716321886003,1734.329026261897,68.78631715239385,31.187211496060364
7.3,65.83090651106703,447.97672904429015,699.0221455538546,23.618965684868893,447.5759999999999,1137.1787448707198,160.46762301072576,3619.321004921604,97.47564371934149,288.01664399000003,5812.647541007195,10179.667799999997,60.64109009603223,657.8430293199999,105.69417557341862,253.6120181711015,2205.148568188162,82.48599460838025,38.65308479500698
8.54,36.27120042543326,374.6907906880165,612.5542518861757,27.02669076346811,579.156,1172.6578587694028,135.8255312310981,3675.2048462017765,110.7727983396646,275.90773209,6110.916161369422,12238.2732,66.24740610177557,727.4414055599998,105.04548299758798,226.51769140984507,2373.618827141232,57.83697609947871,46.09113543459306
8.52,35.563691280198974,400.87714434331554,636.256268261373,24.710272752427773,477.97199999999987,1096.8716246386896,145.26751142466313,3623.1384430364737,99.93325394732224,244.87801539,5895.985188522907,10722.867999999997,61.48285010217771,658.0925665200002,104.4937859992049,234.21577043824735,2243.200078757755,55.44342537164712,40.91885145834374
8.92,35.402394182423244,381.1923685037444,604.2436839540127,24.559257219053457,464.96699999999987,1014.8934958177413,136.48722300747113,3596.9420917097605,99.08342555392399,236.40060083,5809.17956885966,10218.865499999998,61.28827962759615,640.6441877999999,104.31186349045801,219.5856103535891,2185.847220949476,54.79148528119404,40.3988848660455
8.92,35.950941969016014,414.96619938563794,662.0187055984071,25.42072813151265,519.4859999999999,1191.2622766668464,150.45628207737997,3687.664924575597,102.69331556873601,268.45134428,6114.991505409595,11974.233,62.13603423362555,706.6368994,104.8533212301897,244.12837372871044,2366.2645082389454,57.10094172855711,42.945600330301595
8.96,39.97666786951465,520.4291093516167,823.8816532307743,25.152591391550526,556.002,1355.1486629861904,165.64934877443773,4118.102306273063,109.23209478903168,303.82246843,6815.2397803429485,12234.8755,65.44108223757739,873.7315709999998,124.85814374163368,272.9845261583744,2407.0733585326284,64.38708500597212,42.44054574837605
