Activity,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,141.9459083283279,1122.5983339962586,37.044318054055196,24.004108562636915
9.0,219.34753195824067,1101.7339396077177,38.97757185792876,24.69493854117658
7.64,166.138285959921,1114.9846323233883,30.50179756424201,20.432279872959747
7.31,186.69716321886003,1148.3061461383586,31.187211496060364,20.649488719071464
7.3,253.6120181711015,1343.879030010122,38.65308479500698,23.618965684868893
8.54,226.51769140984507,1400.6613893408266,46.09113543459306,27.02669076346811
8.52,234.21577043824735,1352.2730898297873,40.91885145834374,24.710272752427773
8.92,219.5856103535891,1328.521183573048,40.3988848660455,24.559257219053457
8.92,244.12837372871044,1399.879031927145,42.945600330301595,25.42072813151265
8.96,272.9845261583744,1418.9435314350842,42.44054574837605,25.152591391550526
8.55,224.18376411110168,1328.9556137070222,42.09636548895879,25.442880288293395
9.22,302.7899415177045,1389.964470003376,41.456725215940544,24.870240865683307
8.0,247.9118616511923,1494.0681716378788,44.79418593790941,26.185668387590873
8.11,301.21482180546195,1482.4159567252243,46.40569686676412,26.76992012730529
7.92,268.7571019480117,1460.127889924978,43.425395057730924,25.439040710344518
8.15,187.56046123515668,1345.6440279292674,39.62962857673537,24.313891469394264
5.55,96.99224083297173,956.113731426241,27.590390168498885,19.513477942059566
6.07,110.30204965320146,1000.6864127172288,28.34628963197829,19.751254602611326
6.37,177.94569187204294,1209.6938110896965,32.514722410009895,21.070702411277548
6.7,148.20648542226868,1079.5427277204933,29.80062328878374,20.210351997433982
2.7,84.05630868818044,926.0197891913127,32.237751982109415,22.052551960385305
2.87,98.02277348716156,973.3281548424735,32.88700593106645,22.239416663542077
4.96,166.138285959921,1114.9846323233883,30.50179756424201,20.432279872959747
2.74,148.20648542226868,1079.5427277204933,29.80062328878374,20.210351997433982
2.96,121.36000803108925,1056.169750133596,34.1485017476609,22.604004990912365
2.98,130.66199752293383,1093.1189070353041,34.76208678805114,22.781969850914958
3.26,169.16327509368492,1191.198441279818,36.54107547144719,23.29984333283908
