Activity,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,1122.5983339962586,24.004108562636915,37.044318054055196,141.9459083283279
9.0,1101.7339396077177,24.69493854117658,38.97757185792876,219.34753195824067
7.64,1114.9846323233883,20.432279872959747,30.50179756424201,166.138285959921
7.31,1148.3061461383586,20.649488719071464,31.187211496060364,186.69716321886003
7.3,1343.879030010122,23.618965684868893,38.65308479500698,253.6120181711015
8.54,1400.6613893408266,27.02669076346811,46.09113543459306,226.51769140984507
8.52,1352.2730898297873,24.710272752427773,40.91885145834374,234.21577043824735
8.92,1328.521183573048,24.559257219053457,40.3988848660455,219.5856103535891
8.92,1399.879031927145,25.42072813151265,42.945600330301595,244.12837372871044
8.96,1418.9435314350842,25.152591391550526,42.44054574837605,272.9845261583744
8.55,1328.9556137070222,25.442880288293395,42.09636548895879,224.18376411110168
9.22,1389.964470003376,24.870240865683307,41.456725215940544,302.7899415177045
8.0,1494.0681716378788,26.185668387590873,44.79418593790941,247.9118616511923
8.11,1482.4159567252243,26.76992012730529,46.40569686676412,301.21482180546195
7.92,1460.127889924978,25.439040710344518,43.425395057730924,268.7571019480117
8.15,1345.6440279292674,24.313891469394264,39.62962857673537,187.56046123515668
5.55,956.113731426241,19.513477942059566,27.590390168498885,96.99224083297173
6.07,1000.6864127172288,19.751254602611326,28.34628963197829,110.30204965320146
6.37,1209.6938110896965,21.070702411277548,32.514722410009895,177.94569187204294
6.7,1079.5427277204933,20.210351997433982,29.80062328878374,148.20648542226868
2.7,926.0197891913127,22.052551960385305,32.237751982109415,84.05630868818044
2.87,973.3281548424735,22.239416663542077,32.88700593106645,98.02277348716156
4.96,1114.9846323233883,20.432279872959747,30.50179756424201,166.138285959921
2.74,1079.5427277204933,20.210351997433982,29.80062328878374,148.20648542226868
2.96,1056.169750133596,22.604004990912365,34.1485017476609,121.36000803108925
2.98,1093.1189070353041,22.781969850914958,34.76208678805114,130.66199752293383
3.26,1191.198441279818,23.29984333283908,36.54107547144719,169.16327509368492
3.35,976.7679129056453,20.387858001464778,29.780768152450328,121.04081199349312
3.38,1095.848899115494,21.028939669036234,31.83931014485081,153.37281275576655
3.89,1130.2915857533676,21.234175598623825,32.49652561044026,161.28230624319806
3.22,1130.2915857533676,21.23417559862383,32.49652561044026,157.82616760210936
3.72,1162.754116548992,21.435519057835872,33.1407103575044,166.5949013168648
4.28,1222.735992833348,21.82723356024138,34.39290181854389,181.73092041830697
4.77,1148.3061461383586,20.649488719071464,31.187211496060364,160.99562615912632
2.96,995.0915662607708,17.389834514517673,24.043104549537688,82.667864670593
3.19,1079.5427277204933,20.210351997433982,29.80062328878374,145.66501969171293
3.48,1056.169750133596,22.604004990912365,34.1485017476609,136.64135706597216
5.31,1127.7260059278133,22.957196920035898,35.3650276984198,155.98150446186267
5.62,1097.1248148797756,23.278009029568086,35.96956836577275,156.55558951435958
4.32,1118.7730979405133,23.5385225447577,35.87303067110444,127.57707194979496
7.92,1465.6928091013122,28.443887838160077,49.76626913804169,251.57078758149916
6.41,1401.0522405142372,27.762678649961813,47.58599431145682,232.2242560961422
9.6,1591.4191036771078,28.904145582868434,51.838710604238614,331.91902746739646
8.46,1541.196908380198,28.88996379025341,51.43745297854474,290.12683048946565
7.82,1520.9429226251582,28.458517592346503,50.1808917030178,296.38314798760183
7.92,1380.6830954997342,26.494803745988076,45.0275842234513,246.03757209230736
7.0,1442.5126088886118,26.51166308567721,45.48542282083349,270.35673587055237
6.66,1442.5126088886118,26.51166308567721,45.48542282083349,270.35673587055237
7.44,1454.8102398489439,25.915577641248014,43.840096730504605,205.24682836943217
9.31,1566.9281716382966,26.709738835167403,46.64385403072951,252.14665399725098
9.88,1566.9281716382966,26.709738835167403,46.64385403072951,266.29450462350235
9.05,1584.1200136201023,26.837589613902626,47.09492143628654,261.669333436164
9.28,1595.2739671823515,26.846836616044296,47.11641730649733,317.2605203329924
9.28,1506.5904573014693,26.195381293794885,44.81678534377495,255.93031831326337
8.72,1506.5904573014693,26.195381293794885,44.81678534377495,255.93031831326337
8.59,1555.0368648873568,26.469331933337433,45.77263828708152,349.5903096988002
9.06,1455.1725479677839,26.713221844050675,45.409119902283955,211.43612675873882
7.8,1455.1725479677839,26.713221844050675,45.409119902283955,211.43612675873882
9.2,1555.0368648873566,26.469331933337436,45.77263828708152,361.2324254475325
8.97,1512.9463485867318,26.318649161100172,45.26368964291357,239.9183590926497
9.53,1512.9463485867318,26.318649161100172,45.26368964291357,223.3181615842301
9.53,1531.3648134380073,26.450299516134145,45.72837309964133,273.5162612784566
2.46,1116.2172010488825,22.794799373923777,34.79120337915893,173.29964574997507
4.11,1116.2172010488825,22.794799373923777,34.79120337915893,173.29964574997507
4.72,1028.078766634659,19.768318297709683,28.381988841693246,145.94462225769115
5.1,1066.9654194854202,20.000110085202813,29.117345292110677,162.96304945173685
3.27,1066.9654194854202,20.000110085202813,29.117345292110677,162.96304945173685
2.14,1103.2070669275263,20.226650198353994,29.83458233510233,184.11928964110535
4.17,1066.9654194854202,20.000110085202813,29.117345292110677,147.19932243940082
3.64,1122.6605827417043,21.622075620274323,33.183941835924195,163.5118227335777
6.12,1241.3061181865776,21.84120889357651,34.42233069113711,227.72181769614593
7.19,1268.4062881363202,22.031660661953218,35.03111982880364,239.70645776185023
6.44,1268.4062881363202,22.031660661953218,35.03111982880364,239.70645776185023
5.34,1268.4062881363202,22.031660661953218,35.03111982880364,228.2057074362125
7.46,1294.3954281735764,22.218875451713856,35.62950831417688,239.77798627399474
4.48,1294.3954281735764,22.218875451713856,35.62950831417688,239.77798627399474
