Activity,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,1658.257428393499,141.9459083283279,32.82789831009999
9.0,1680.0099135679407,219.34753195824067,28.139996218638522
7.64,1659.481440489254,166.138285959921,62.94270230227651
7.31,1734.329026261897,186.69716321886003,62.955818067585916
7.3,2205.148568188162,253.6120181711015,65.83090651106703
8.54,2373.618827141232,226.51769140984507,36.27120042543326
8.52,2243.200078757755,234.21577043824735,35.563691280198974
8.92,2185.847220949476,219.5856103535891,35.402394182423244
8.92,2366.2645082389454,244.12837372871044,35.950941969016014
8.96,2407.0733585326284,272.9845261583744,39.97666786951465
8.55,2189.8304455223374,224.18376411110168,35.96496158590133
9.22,2321.238151202674,302.7899415177045,64.51736070064428
8.0,2561.2683379364935,247.9118616511923,42.71547425024511
8.11,2575.4050380047615,301.21482180546195,43.07840966127201
7.92,2510.3862637789525,268.7571019480117,43.34423583035612
8.15,2182.781837946296,187.56046123515668,39.997661469858066
5.55,1318.2581580643791,96.99224083297173,62.771937706528256
6.07,1411.319627621447,110.30204965320146,62.79769274989507
6.37,1875.08245454621,177.94569187204294,65.5316645716761
6.7,1581.0945991059612,148.20648542226868,62.895624578552926
2.7,1292.47117710901,84.05630868818044,19.693317693691252
2.87,1387.2635883867922,98.02277348716156,19.951691409703784
4.96,1659.481440489254,166.138285959921,62.94270230227651
2.74,1581.0945991059612,148.20648542226868,62.895624578552926
2.96,1559.6593550119526,121.36000803108925,20.885643775381038
2.98,1639.071634701348,130.66199752293383,21.341192735168484
3.26,1857.0437215373527,169.16327509368492,34.681583716637356
3.35,1396.017814949286,121.04081199349312,19.112253753329828
3.38,1646.4875643850244,153.37281275576655,20.371573844756206
3.89,1721.9000608864555,161.28230624319806,20.849618462369687
3.22,1721.9000608864558,157.82616760210936,34.08345978185739
3.72,1794.1455737166452,166.5949013168648,34.17063116042957
4.28,1930.5427681612057,181.73092041830697,34.500968411276254
4.77,1734.329026261897,160.99562615912632,63.0053714858271
2.96,1383.8965622132057,82.667864670593,62.6969993107102
3.19,1581.0945991059612,145.66501969171293,62.895624578552926
3.48,1559.6593550119526,136.64135706597216,20.879563521739176
5.31,1714.8102937901906,155.98150446186267,21.73718563014107
5.62,1657.0395026318927,156.55558951435958,21.31482198842864
4.32,1640.3029016685364,127.57707194979496,30.71518325305349
7.92,2544.1649500341123,251.57078758149916,37.091674165474096
6.41,2377.287454929111,232.2242560961422,36.57706435723219
9.6,2862.1112562976696,331.91902746739646,48.97382022713539
8.46,2736.5762136302865,290.12683048946565,37.554341242065156
7.82,2678.7323052893557,296.38314798760183,37.33221820732259
7.92,2328.485043831946,246.03757209230736,25.57052973954584
7.0,2474.8078854262217,270.35673587055237,36.44256914503116
6.66,2474.8078854262217,270.35673587055237,36.44256914503116
7.44,2460.093180939183,205.24682836943217,40.62837602480082
9.31,2752.4842558933856,252.14665399725098,41.30496063865352
9.88,2752.4842558933856,266.29450462350235,46.537330673888626
9.05,2798.2473262646413,261.669333436164,46.630912828304666
9.28,2816.446260840241,317.2605203329924,69.03779619004821
9.28,2581.1386906111275,255.93031831326337,66.30712220502913
8.72,2581.1386906111275,255.93031831326337,66.30712220502913
8.59,2696.7564631304745,349.5903096988002,80.22110932104738
9.06,2463.6330420148774,211.43612675873882,40.56110837773718
7.8,2463.6330420148774,211.43612675873882,40.56110837773718
9.2,2696.7564631304745,361.2324254475325,80.20809022046632
8.97,2610.3857988661784,239.9183590926497,47.00723635069935
9.53,2610.3857988661784,223.3181615842301,40.99416209059752
9.53,2658.5959713594066,273.5162612784566,46.695070878576416
2.46,1669.9512762162585,173.29964574997507,63.02255631005914
4.11,1669.9512762162585,173.29964574997507,63.02255631005914
4.72,1447.0675632337625,145.94462225769115,78.75785856736772
5.1,1532.326026852494,162.96304945173685,78.77422271920781
3.27,1532.326026852494,162.96304945173685,78.77422271920781
2.14,1613.0844902161202,184.11928964110535,78.80570298289634
4.17,1532.326026852494,147.19932243940082,78.79058515766033
3.64,1694.7940377899286,163.5118227335777,64.04982164178594
6.12,1956.828255354386,227.72181769614593,66.12309375405329
7.19,2020.691797617722,239.70645776185023,66.14630576440537
6.44,2020.691797617722,239.70645776185023,66.14630576440537
5.34,2020.691797617722,228.2057074362125,66.1695087015048
7.46,2082.5978634786384,239.77798627399474,66.21204761243557
4.48,2082.5978634786384,239.77798627399474,66.21204761243557
