Activity,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS
6.11,141.9459083283279,1658.257428393499,37.044318054055196,41.27225385002131,81.6629044972073,24.004108562636915
9.0,219.34753195824067,1680.0099135679407,38.97757185792876,40.78241768806961,96.21066939908484,24.69493854117658
7.64,166.138285959921,1659.481440489254,30.50179756424201,68.55106704106494,70.22186092307722,20.432279872959747
7.31,186.69716321886003,1734.329026261897,31.187211496060364,68.78631715239385,73.7529301722989,20.649488719071464
7.3,253.6120181711015,2205.148568188162,38.65308479500698,82.48599460838025,97.47564371934149,23.618965684868893
8.54,226.51769140984507,2373.618827141232,46.09113543459306,57.83697609947871,110.7727983396646,27.02669076346811
8.52,234.21577043824735,2243.200078757755,40.91885145834374,55.44342537164712,99.93325394732224,24.710272752427773
8.92,219.5856103535891,2185.847220949476,40.3988848660455,54.79148528119404,99.08342555392399,24.559257219053457
8.92,244.12837372871044,2366.2645082389454,42.945600330301595,57.10094172855711,102.69331556873601,25.42072813151265
8.96,272.9845261583744,2407.0733585326284,42.44054574837605,64.38708500597212,109.23209478903168,25.152591391550526
8.55,224.18376411110168,2189.8304455223374,42.09636548895879,55.508668765596745,101.5561951212234,25.442880288293395
9.22,302.7899415177045,2321.238151202674,41.456725215940544,81.96024117338209,102.5644933517443,24.870240865683307
8.0,247.9118616511923,2561.2683379364935,44.79418593790941,69.71204251201577,115.44696345655872,26.185668387590873
8.11,301.21482180546195,2575.4050380047615,46.40569686676412,71.1238473795553,119.2383817359159,26.76992012730529
7.92,268.7571019480117,2510.3862637789525,43.425395057730924,71.30593087055681,114.85176787276721,25.439040710344518
8.15,187.56046123515668,2182.781837946296,39.62962857673537,59.931643194833335,96.78279668215833,24.313891469394264
5.55,96.99224083297173,1318.2581580643791,27.590390168498885,66.69901347796775,60.0652486467841,19.513477942059566
6.07,110.30204965320146,1411.319627621447,28.34628963197829,67.02635098434203,62.27181449098781,19.751254602611326
6.37,177.94569187204294,1875.08245454621,32.514722410009895,79.89135147578962,81.14098397234284,21.070702411277548
6.7,148.20648542226868,1581.0945991059612,29.80062328878374,68.05736267898266,68.39162751389968,20.210351997433982
2.7,84.05630868818044,1292.47117710901,32.237751982109415,26.980444358077946,70.88264314343814,22.052551960385305
2.87,98.02277348716156,1387.2635883867922,32.88700593106645,27.779807506558143,72.76189857336048,22.239416663542077
4.96,166.138285959921,1659.481440489254,30.50179756424201,68.55106704106494,70.22186092307722,20.432279872959747
2.74,148.20648542226868,1581.0945991059612,29.80062328878374,68.05736267898266,68.39162751389968,20.210351997433982
2.96,121.36000803108925,1559.6593550119526,34.1485017476609,30.183247677702344,75.61163234912998,22.604004990912365
2.98,130.66199752293383,1639.071634701348,34.76208678805114,31.351156246550524,76.72189369078424,22.781969850914958
3.26,169.16327509368492,1857.0437215373527,36.54107547144719,51.59277099995083,89.44481138668691,23.29984333283908
3.35,121.04081199349312,1396.017814949286,29.780768152450328,26.995201522263994,67.50674099673306,20.387858001464778
3.38,153.37281275576655,1646.4875643850244,31.83931014485081,30.196439655062452,72.45640018314461,21.028939669036234
3.89,161.28230624319806,1721.9000608864555,32.49652561044026,31.363856992785948,73.61426459932883,21.234175598623825
3.22,157.82616760210936,1721.9000608864558,32.49652561044026,49.795223978181035,80.39654623178782,21.23417559862383
3.72,166.5949013168648,1794.1455737166452,33.1407103575044,50.232834464912486,82.05820757852317,21.435519057835872
4.28,181.73092041830697,1930.5427681612057,34.39290181854389,51.60085652052105,84.59535739920955,21.82723356024138
