Activity,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,1298.602980597656,24.004108562636915,41.27225385002131,2668.46223557841,1658.257428393499,298.36068984,6014.1709999999985,14694.437399999997,55.836343007090015,380.75086812680667,82.56727108676455,32.82789831009999,127.05139518999997,146.30089999999998,81.6629044972073,98.55208210941986,37.044318054055196,141.9459083283279
9.0,2382.9307214179685,24.69493854117658,40.78241768806961,2839.2021770149195,1680.0099135679407,399.72824663999995,6562.225599999998,17604.845,62.187615209699366,628.4647591733835,105.02349143668306,28.139996218638522,148.66076701999998,163.7514,96.21066939908484,146.21731236945502,38.97757185792876,219.34753195824067
7.64,1399.5618880000002,20.432279872959747,68.55106704106494,2530.4588124896004,1659.481440489254,260.24555816,5772.2676999999985,12833.766999999998,49.050505516529704,428.44481789443364,75.39910408071142,62.94270230227651,156.34935581999997,109.92129999999999,70.22186092307722,114.5039223167868,30.50179756424201,166.138285959921
7.31,1691.2365320625,20.649488719071464,68.78631715239385,2746.975416584827,1734.329026261897,282.47367271999997,6276.270199999998,14849.776999999998,50.319267369939276,493.07788905840687,78.18703203724944,62.955818067585916,162.21306158,116.42379999999999,73.7529301722989,127.29549639489386,31.187211496060364,186.69716321886003
7.3,3066.9944992931155,23.618965684868893,82.48599460838025,3619.321004921604,2205.148568188162,657.8430293199999,10179.667799999997,26354.504,60.64109009603223,699.0221455538546,159.03959070619246,65.83090651106703,288.01664399000003,183.01649999999998,97.47564371934149,160.46762301072576,38.65308479500698,253.6120181711015
8.54,3084.6520283516384,27.02669076346811,57.83697609947871,3675.2048462017765,2373.618827141232,727.4414055599998,12238.2732,31253.992000000002,66.24740610177557,612.5542518861757,159.8881473060451,36.27120042543326,275.90773209,247.11249999999993,110.7727983396646,135.8255312310981,46.09113543459306,226.51769140984507
8.52,2913.722255681102,24.710272752427773,55.44342537164712,3623.1384430364737,2243.200078757755,658.0925665200002,10722.867999999997,27789.507999999998,61.48285010217771,636.256268261373,156.52564206980463,35.563691280198974,244.87801539,201.19869999999995,99.93325394732224,145.26751142466313,40.91885145834374,234.21577043824735
8.92,2729.3012414498535,24.559257219053457,54.79148528119404,3596.9420917097605,2185.847220949476,640.6441877999999,10218.865499999998,26781.502999999997,61.28827962759615,604.2436839540127,155.5205158208182,35.402394182423244,236.40060083,194.69619999999995,99.08342555392399,136.48722300747113,40.3988848660455,219.5856103535891
8.92,3140.007850068009,25.42072813151265,57.10094172855711,3687.664924575597,2366.2645082389454,706.6368994,11974.233,30505.958000000002,62.13603423362555,662.0187055984071,158.9672497138528,35.950941969016014,268.45134428,223.44529999999995,102.69331556873601,150.45628207737997,42.945600330301595,244.12837372871044
8.96,3900.808433836276,25.152591391550526,64.38708500597212,4118.102306273063,2407.0733585326284,873.7315709999998,12234.8755,33837.53799999999,65.44108223757739,823.8816532307743,194.63500506260536,39.97666786951465,303.82246843,220.70619999999994,109.23209478903168,165.64934877443773,42.44054574837605,272.9845261583744
