Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS
6.11,2668.46223557841,380.75086812680667,301.3499999999999,14694.437399999997,98.55208210941986,41.27225385002131,3965.385526119835,141.9459083283279,146.30089999999998,1298.602980597656,32.82789831009999,82.56727108676455,1122.5983339962586,6014.1709999999985,24.004108562636915,81.6629044972073,269.2561360659322
9.0,2839.2021770149195,628.4647591733835,393.4861999999999,17604.845,146.21731236945502,40.78241768806961,4381.833280793953,219.34753195824067,163.7514,2382.9307214179685,28.139996218638522,105.02349143668306,1101.7339396077177,6562.225599999998,24.69493854117658,96.21066939908484,421.3194367158121
7.64,2530.4588124896004,428.44481789443364,238.42499999999995,12833.766999999998,114.5039223167868,68.55106704106494,3710.545956333448,166.138285959921,109.92129999999999,1399.5618880000002,62.94270230227651,75.39910408071142,1114.9846323233883,5772.2676999999985,20.432279872959747,70.22186092307722,304.81551060752173
7.31,2746.975416584827,493.07788905840687,264.435,14849.776999999998,127.29549639489386,68.78631715239385,4106.236764288257,186.69716321886003,116.42379999999999,1691.2365320625,62.955818067585916,78.18703203724944,1148.3061461383586,6276.270199999998,20.649488719071464,73.7529301722989,343.6938193509517
7.3,3619.321004921604,699.0221455538546,447.5759999999999,26354.504,160.46762301072576,82.48599460838025,5812.647541007195,253.6120181711015,183.01649999999998,3066.9944992931155,65.83090651106703,159.03959070619246,1343.879030010122,10179.667799999997,23.618965684868893,97.47564371934149,447.97672904429015
8.54,3675.2048462017765,612.5542518861757,579.156,31253.992000000002,135.8255312310981,57.83697609947871,6110.916161369422,226.51769140984507,247.11249999999993,3084.6520283516384,36.27120042543326,159.8881473060451,1400.6613893408266,12238.2732,27.02669076346811,110.7727983396646,374.6907906880165
8.52,3623.1384430364737,636.256268261373,477.97199999999987,27789.507999999998,145.26751142466313,55.44342537164712,5895.985188522907,234.21577043824735,201.19869999999995,2913.722255681102,35.563691280198974,156.52564206980463,1352.2730898297873,10722.867999999997,24.710272752427773,99.93325394732224,400.87714434331554
8.92,3596.9420917097605,604.2436839540127,464.96699999999987,26781.502999999997,136.48722300747113,54.79148528119404,5809.17956885966,219.5856103535891,194.69619999999995,2729.3012414498535,35.402394182423244,155.5205158208182,1328.521183573048,10218.865499999998,24.559257219053457,99.08342555392399,381.1923685037444
8.92,3687.664924575597,662.0187055984071,519.4859999999999,30505.958000000002,150.45628207737997,57.10094172855711,6114.991505409595,244.12837372871044,223.44529999999995,3140.007850068009,35.950941969016014,158.9672497138528,1399.879031927145,11974.233,25.42072813151265,102.69331556873601,414.96619938563794
8.96,4118.102306273063,823.8816532307743,556.002,33837.53799999999,165.64934877443773,64.38708500597212,6815.2397803429485,272.9845261583744,220.70619999999994,3900.808433836276,39.97666786951465,194.63500506260536,1418.9435314350842,12234.8755,25.152591391550526,109.23209478903168,520.4291093516167
8.55,3650.3849024850315,623.7953098324994,482.51099999999985,27297.403999999995,138.45793535167564,55.508668765596745,5887.248114816845,224.18376411110168,206.52979999999994,2848.7208421904,35.96496158590133,160.28132433343328,1328.9556137070222,10350.885599999998,25.442880288293395,101.5561951212234,391.3829379994046
9.22,3733.836316848946,815.8655582153875,504.28799999999984,29983.321999999996,188.9746288056574,81.96024117338209,6169.05951530134,302.7899415177045,207.85509999999996,3798.7249245568237,64.51736070064428,166.2883943479743,1389.964470003376,11319.6929,24.870240865683307,102.5644933517443,513.6592680866952
8.0,4327.866225232816,726.9677232730112,619.0026000000001,38539.4268,147.2749458896052,69.71204251201577,7322.342744794522,247.9118616511923,243.83839999999995,3744.354908849396,42.71547425024511,206.38168295634296,1494.0681716378788,13574.208500000002,26.185668387590873,115.44696345655872,439.73070707413405
8.11,4245.994731975482,859.7767797022084,661.1130000000002,39294.235,180.32080332357373,71.1238473795553,7259.780058300045,301.21482180546195,261.28889999999996,4513.931980554596,43.07840966127201,210.2004699045632,1482.4159567252243,14122.263100000002,26.76992012730529,119.2383817359159,517.424678439041
7.92,4208.701959855615,781.1675900893554,612.5610000000001,37377.454,160.70526668026514,71.30593087055681,7136.190148192137,268.7571019480117,233.71119999999993,3989.978754332734,43.34423583035612,210.85433038283895,1460.127889924978,13242.880500000003,25.439040710344518,114.85176787276721,473.68183772905587
8.15,3673.329393472428,530.9691408158914,440.5067999999999,26363.810799999996,117.58298842042117,59.931643194833335,5863.854551316469,187.56046123515668,186.48729999999998,2333.5438293020256,39.997661469858066,162.7768453352415,1345.6440279292674,9914.1709,24.313891469394264,96.78279668215833,339.25558801932203
5.55,2022.4448637099583,222.75514367316921,170.90099999999995,8101.306999999999,69.80231540895738,66.69901347796775,2784.572969298883,96.99224083297173,83.9113,634.51852475,62.771937706528256,64.57136466536652,956.113731426241,3756.2577000000006,19.513477942059566,60.0652486467841,165.01789338712737
6.07,2174.5479444079765,262.28831124236524,183.90599999999995,9109.312,78.09989182510638,67.02635098434203,3020.421197858835,110.30204965320146,90.4138,774.8945950000001,62.79769274989507,65.69307603380621,1000.6864127172288,4260.2602,19.751254602611326,62.27181449098781,191.33662181293448
6.37,3321.86414980736,492.12455270232607,313.9559999999999,19189.361999999997,116.45979521903092,79.89135147578962,5037.869539088423,177.94569187204294,129.42879999999997,1848.1658432351685,65.5316645716761,151.23736019322632,1209.6938110896965,7284.275199999997,21.070702411277548,81.14098397234284,330.62922011513666
6.7,2389.454288194701,375.91092316112685,225.41999999999996,11825.761999999999,102.488477458879,68.05736267898266,3499.148492708619,148.20648542226868,103.41879999999999,1206.5652112500002,62.895624578552926,72.9021049021589,1079.5427277204933,5268.265199999999,20.210351997433982,68.39162751389968,268.13718967640284
2.7,2169.194037976688,211.4240758782761,223.38,9560.108,59.0920498409243,26.980444358077946,3054.0234077924156,84.05630868818044,107.4246,654.6577929375,19.693317693691252,61.33693720619342,926.0197891913127,3927.475500000001,22.052551960385305,70.88264314343814,152.49627499743224
2.87,2303.1622874137324,250.05974984728348,236.385,10568.113,68.6324938196261,27.779807506558143,3270.4979080361754,98.02277348716156,113.9271,792.513849125,19.951691409703784,62.51670952531182,973.3281548424735,4431.478,22.239416663542077,72.76189857336048,179.00551269417275
4.96,2530.4588124896004,428.44481789443364,238.42499999999995,12833.766999999998,114.5039223167868,68.55106704106494,3710.545956333448,166.138285959921,109.92129999999999,1399.5618880000002,62.94270230227651,75.39910408071142,1114.9846323233883,5772.2676999999985,20.432279872959747,70.22186092307722,304.81551060752173
2.74,2389.454288194701,375.91092316112685,225.41999999999996,11825.761999999999,102.488477458879,68.05736267898266,3499.148492708619,148.20648542226868,103.41879999999999,1206.5652112500002,62.895624578552926,72.9021049021589,1079.5427277204933,5268.265199999999,20.210351997433982,68.39162751389968,268.13718967640284
2.96,2509.403606865237,310.30269407516727,262.395,12584.123,84.26822936537289,30.183247677702344,3638.1783582627586,121.36000803108925,126.93209999999999,1033.3052710625002,20.885643775381038,67.3252764329194,1056.169750133596,5439.482999999999,22.604004990912365,75.61163234912998,219.5437638931178
2.98,2562.4884972759487,332.832286201804,275.4,13592.127999999999,90.20954557794674,31.351156246550524,3775.23719076782,130.66199752293383,133.4346,1136.103819761719,21.341192735168484,69.3760171738867,1093.1189070353041,5943.485499999999,22.781969850914958,76.72189369078424,234.27530129197027
3.26,3379.303457356439,482.1569669461345,366.4349999999999,20648.162999999997,111.19002639953064,51.59277099995083,5191.660798518043,169.16327509368492,152.94209999999995,1860.1639068105317,34.681583716637356,149.88494870834913,1191.198441279818,7455.492999999998,23.29984333283908,89.44481138668691,323.5304200703904
3.35,2286.492847393357,318.6058564011808,214.76099999999997,10421.289999999999,86.38697580945892,26.995201522263994,3266.7799663136175,121.04081199349312,99.5015,964.8382893906253,19.112253753329828,61.77424734199726,976.7679129056453,4410.7978,20.387858001464778,67.50674099673306,231.65549238833066
