Activity,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS
6.11,380.75086812680667,301.3499999999999,298.36068984,1658.257428393499,3965.385526119835,146.30089999999998,57.92706976236028,269.2561360659322,1122.5983339962586,24.004108562636915,1298.602980597656,37.044318054055196,81.6629044972073,2668.46223557841,500.8623182792969,41.27225385002131,141.9459083283279
9.0,628.4647591733835,393.4861999999999,399.72824663999995,1680.0099135679407,4381.833280793953,163.7514,71.72114188754168,421.3194367158121,1101.7339396077177,24.69493854117658,2382.9307214179685,38.97757185792876,96.21066939908484,2839.2021770149195,846.226733185547,40.78241768806961,219.34753195824067
7.64,428.44481789443364,238.42499999999995,260.24555816,1659.481440489254,3710.545956333448,109.92129999999999,51.461518398282365,304.81551060752173,1114.9846323233883,20.432279872959747,1399.5618880000002,30.50179756424201,70.22186092307722,2530.4588124896004,569.4400800000001,68.55106704106494,166.138285959921
7.31,493.07788905840687,264.435,282.47367271999997,1734.329026261897,4106.236764288257,116.42379999999999,52.65354408486567,343.6938193509517,1148.3061461383586,20.649488719071464,1691.2365320625,31.187211496060364,73.7529301722989,2746.975416584827,662.31948146875,68.78631715239385,186.69716321886003
7.3,699.0221455538546,447.5759999999999,657.8430293199999,2205.148568188162,5812.647541007195,183.01649999999998,105.69417557341862,447.97672904429015,1343.879030010122,23.618965684868893,3066.9944992931155,38.65308479500698,97.47564371934149,3619.321004921604,1137.1787448707198,82.48599460838025,253.6120181711015
8.54,612.5542518861757,579.156,727.4414055599998,2373.618827141232,6110.916161369422,247.11249999999993,105.04548299758798,374.6907906880165,1400.6613893408266,27.02669076346811,3084.6520283516384,46.09113543459306,110.7727983396646,3675.2048462017765,1172.6578587694028,57.83697609947871,226.51769140984507
8.52,636.256268261373,477.97199999999987,658.0925665200002,2243.200078757755,5895.985188522907,201.19869999999995,104.4937859992049,400.87714434331554,1352.2730898297873,24.710272752427773,2913.722255681102,40.91885145834374,99.93325394732224,3623.1384430364737,1096.8716246386896,55.44342537164712,234.21577043824735
8.92,604.2436839540127,464.96699999999987,640.6441877999999,2185.847220949476,5809.17956885966,194.69619999999995,104.31186349045801,381.1923685037444,1328.521183573048,24.559257219053457,2729.3012414498535,40.3988848660455,99.08342555392399,3596.9420917097605,1014.8934958177413,54.79148528119404,219.5856103535891
8.92,662.0187055984071,519.4859999999999,706.6368994,2366.2645082389454,6114.991505409595,223.44529999999995,104.8533212301897,414.96619938563794,1399.879031927145,25.42072813151265,3140.007850068009,42.945600330301595,102.69331556873601,3687.664924575597,1191.2622766668464,57.10094172855711,244.12837372871044
8.96,823.8816532307743,556.002,873.7315709999998,2407.0733585326284,6815.2397803429485,220.70619999999994,124.85814374163368,520.4291093516167,1418.9435314350842,25.152591391550526,3900.808433836276,42.44054574837605,109.23209478903168,4118.102306273063,1355.1486629861904,64.38708500597212,272.9845261583744
