Activity,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_r_MAS
6.11,2668.46223557841,98.55208210941986,1298.602980597656,82.56727108676455,41.27225385002131,81.6629044972073,32.82789831009999,141.9459083283279,1658.257428393499,14694.437399999997,3965.385526119835,500.8623182792969,146.30089999999998,301.3499999999999,55.836343007090015,24.004108562636915,380.75086812680667,298.36068984
9.0,2839.2021770149195,146.21731236945502,2382.9307214179685,105.02349143668306,40.78241768806961,96.21066939908484,28.139996218638522,219.34753195824067,1680.0099135679407,17604.845,4381.833280793953,846.226733185547,163.7514,393.4861999999999,62.187615209699366,24.69493854117658,628.4647591733835,399.72824663999995
7.64,2530.4588124896004,114.5039223167868,1399.5618880000002,75.39910408071142,68.55106704106494,70.22186092307722,62.94270230227651,166.138285959921,1659.481440489254,12833.766999999998,3710.545956333448,569.4400800000001,109.92129999999999,238.42499999999995,49.050505516529704,20.432279872959747,428.44481789443364,260.24555816
7.31,2746.975416584827,127.29549639489386,1691.2365320625,78.18703203724944,68.78631715239385,73.7529301722989,62.955818067585916,186.69716321886003,1734.329026261897,14849.776999999998,4106.236764288257,662.31948146875,116.42379999999999,264.435,50.319267369939276,20.649488719071464,493.07788905840687,282.47367271999997
7.3,3619.321004921604,160.46762301072576,3066.9944992931155,159.03959070619246,82.48599460838025,97.47564371934149,65.83090651106703,253.6120181711015,2205.148568188162,26354.504,5812.647541007195,1137.1787448707198,183.01649999999998,447.5759999999999,60.64109009603223,23.618965684868893,699.0221455538546,657.8430293199999
8.54,3675.2048462017765,135.8255312310981,3084.6520283516384,159.8881473060451,57.83697609947871,110.7727983396646,36.27120042543326,226.51769140984507,2373.618827141232,31253.992000000002,6110.916161369422,1172.6578587694028,247.11249999999993,579.156,66.24740610177557,27.02669076346811,612.5542518861757,727.4414055599998
8.52,3623.1384430364737,145.26751142466313,2913.722255681102,156.52564206980463,55.44342537164712,99.93325394732224,35.563691280198974,234.21577043824735,2243.200078757755,27789.507999999998,5895.985188522907,1096.8716246386896,201.19869999999995,477.97199999999987,61.48285010217771,24.710272752427773,636.256268261373,658.0925665200002
8.92,3596.9420917097605,136.48722300747113,2729.3012414498535,155.5205158208182,54.79148528119404,99.08342555392399,35.402394182423244,219.5856103535891,2185.847220949476,26781.502999999997,5809.17956885966,1014.8934958177413,194.69619999999995,464.96699999999987,61.28827962759615,24.559257219053457,604.2436839540127,640.6441877999999
8.92,3687.664924575597,150.45628207737997,3140.007850068009,158.9672497138528,57.10094172855711,102.69331556873601,35.950941969016014,244.12837372871044,2366.2645082389454,30505.958000000002,6114.991505409595,1191.2622766668464,223.44529999999995,519.4859999999999,62.13603423362555,25.42072813151265,662.0187055984071,706.6368994
8.96,4118.102306273063,165.64934877443773,3900.808433836276,194.63500506260536,64.38708500597212,109.23209478903168,39.97666786951465,272.9845261583744,2407.0733585326284,33837.53799999999,6815.2397803429485,1355.1486629861904,220.70619999999994,556.002,65.44108223757739,25.152591391550526,823.8816532307743,873.7315709999998
8.55,3650.3849024850315,138.45793535167564,2848.7208421904,160.28132433343328,55.508668765596745,101.5561951212234,35.96496158590133,224.18376411110168,2189.8304455223374,27297.403999999995,5887.248114816845,1053.9797880480837,206.52979999999994,482.51099999999985,62.66521148806405,25.442880288293395,623.7953098324994,659.6263474
9.22,3733.836316848946,188.9746288056574,3798.7249245568237,166.2883943479743,81.96024117338209,102.5644933517443,64.51736070064428,302.7899415177045,2321.238151202674,29983.321999999996,6169.05951530134,1424.0706510176346,207.85509999999996,504.28799999999984,62.38552998024147,24.870240865683307,815.8655582153875,734.0889702399999
8.0,4327.866225232816,147.2749458896052,3744.354908849396,206.38168295634296,69.71204251201577,115.44696345655872,42.71547425024511,247.9118616511923,2561.2683379364935,38539.4268,7322.342744794522,1303.2108147501267,243.83839999999995,619.0026000000001,68.07917299997499,26.185668387590873,726.9677232730112,950.3311864799996
8.11,4245.994731975482,180.32080332357373,4513.931980554596,210.2004699045632,71.1238473795553,119.2383817359159,43.07840966127201,301.21482180546195,2575.4050380047615,39294.235,7259.780058300045,1601.118572771993,261.28889999999996,661.1130000000002,69.30960624897119,26.76992012730529,859.7767797022084,1033.2419151199997
7.92,4208.701959855615,160.70526668026514,3989.978754332734,210.85433038283895,71.30593087055681,114.85176787276721,43.34423583035612,268.7571019480117,2510.3862637789525,37377.454,7136.190148192137,1394.166947523137,233.71119999999993,612.5610000000001,67.52942290783024,25.439040710344518,781.1675900893554,1017.3534449199997
