Activity,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS
6.11,41.27225385002131,24.004108562636915,81.6629044972073,141.9459083283279,1658.257428393499
9.0,40.78241768806961,24.69493854117658,96.21066939908484,219.34753195824067,1680.0099135679407
7.64,68.55106704106494,20.432279872959747,70.22186092307722,166.138285959921,1659.481440489254
7.31,68.78631715239385,20.649488719071464,73.7529301722989,186.69716321886003,1734.329026261897
7.3,82.48599460838025,23.618965684868893,97.47564371934149,253.6120181711015,2205.148568188162
8.54,57.83697609947871,27.02669076346811,110.7727983396646,226.51769140984507,2373.618827141232
8.52,55.44342537164712,24.710272752427773,99.93325394732224,234.21577043824735,2243.200078757755
8.92,54.79148528119404,24.559257219053457,99.08342555392399,219.5856103535891,2185.847220949476
8.92,57.10094172855711,25.42072813151265,102.69331556873601,244.12837372871044,2366.2645082389454
8.96,64.38708500597212,25.152591391550526,109.23209478903168,272.9845261583744,2407.0733585326284
8.55,55.508668765596745,25.442880288293395,101.5561951212234,224.18376411110168,2189.8304455223374
9.22,81.96024117338209,24.870240865683307,102.5644933517443,302.7899415177045,2321.238151202674
8.0,69.71204251201577,26.185668387590873,115.44696345655872,247.9118616511923,2561.2683379364935
8.11,71.1238473795553,26.76992012730529,119.2383817359159,301.21482180546195,2575.4050380047615
7.92,71.30593087055681,25.439040710344518,114.85176787276721,268.7571019480117,2510.3862637789525
8.15,59.931643194833335,24.313891469394264,96.78279668215833,187.56046123515668,2182.781837946296
5.55,66.69901347796775,19.513477942059566,60.0652486467841,96.99224083297173,1318.2581580643791
6.07,67.02635098434203,19.751254602611326,62.27181449098781,110.30204965320146,1411.319627621447
6.37,79.89135147578962,21.070702411277548,81.14098397234284,177.94569187204294,1875.08245454621
6.7,68.05736267898266,20.210351997433982,68.39162751389968,148.20648542226868,1581.0945991059612
2.7,26.980444358077946,22.052551960385305,70.88264314343814,84.05630868818044,1292.47117710901
2.87,27.779807506558143,22.239416663542077,72.76189857336048,98.02277348716156,1387.2635883867922
4.96,68.55106704106494,20.432279872959747,70.22186092307722,166.138285959921,1659.481440489254
2.74,68.05736267898266,20.210351997433982,68.39162751389968,148.20648542226868,1581.0945991059612
2.96,30.183247677702344,22.604004990912365,75.61163234912998,121.36000803108925,1559.6593550119526
2.98,31.351156246550524,22.781969850914958,76.72189369078424,130.66199752293383,1639.071634701348
3.26,51.59277099995083,23.29984333283908,89.44481138668691,169.16327509368492,1857.0437215373527
3.35,26.995201522263994,20.387858001464778,67.50674099673306,121.04081199349312,1396.017814949286
3.38,30.196439655062452,21.028939669036234,72.45640018314461,153.37281275576655,1646.4875643850244
3.89,31.363856992785948,21.234175598623825,73.61426459932883,161.28230624319806,1721.9000608864555
3.22,49.795223978181035,21.23417559862383,80.39654623178782,157.82616760210936,1721.9000608864558
3.72,50.232834464912486,21.435519057835872,82.05820757852317,166.5949013168648,1794.1455737166452
4.28,51.60085652052105,21.82723356024138,84.59535739920955,181.73092041830697,1930.5427681612057
4.77,69.14547188958034,20.649488719071464,71.99896889886686,160.99562615912632,1734.329026261897
2.96,66.31741695436637,17.389834514517673,48.50487445092503,82.667864670593,1383.8965622132057
3.19,68.05736267898264,20.210351997433982,68.39162751389968,145.66501969171293,1581.0945991059612
3.48,30.18262072192864,22.604004990912365,78.06362608795469,136.64135706597216,1559.6593550119526
5.31,32.40835276461758,22.957196920035898,80.72641934645682,155.98150446186267,1714.8102937901906
5.62,31.565339535686544,23.278009029568086,81.68457632564423,156.55558951435958,1657.0395026318927
4.32,39.3035377406941,23.5385225447577,78.90166025325449,127.57707194979496,1640.3029016685364
7.92,60.70045236520145,28.443887838160077,118.80551528864306,251.57078758149916,2544.1649500341123
6.41,58.53318913549234,27.762678649961813,115.69943223715491,232.2242560961422,2377.287454929111
9.6,84.50674547872296,28.904145582868434,136.6085242215873,331.91902746739646,2862.1112562976696
8.46,62.674004540602176,28.88996379025341,123.4112854361383,290.12683048946565,2736.5762136302865
7.82,61.7162300106627,28.458517592346503,123.69959322487685,296.38314798760183,2678.7323052893557
7.92,42.539430620492325,26.494803745988076,102.28054132385104,246.03757209230736,2328.485043831946
7.0,58.6624989656838,26.51166308567721,111.53025459712714,270.35673587055237,2474.8078854262217
6.66,58.6624989656838,26.51166308567721,111.53025459712714,270.35673587055237,2474.8078854262217
7.44,62.91428004223864,25.915577641248014,102.9417041952386,205.24682836943217,2460.093180939183
9.31,66.0991416479872,26.709738835167403,109.70232301606016,252.14665399725098,2752.4842558933856
9.88,76.44527825584176,26.709738835167403,115.70496910297327,266.29450462350235,2752.4842558933856
9.05,76.91389422747474,26.837589613902626,116.43354284792677,261.669333436164,2798.2473262646413
9.28,98.36270887971772,26.846836616044296,116.48067960447348,317.2605203329924,2816.446260840241
9.28,87.7352154449711,26.195381293794885,105.01339771010174,255.93031831326337,2581.1386906111275
8.72,87.7352154449711,26.195381293794885,105.01339771010174,255.93031831326337,2581.1386906111275
8.59,107.04196884254202,26.469331933337433,107.44858964462959,349.5903096988002,2696.7564631304745
9.06,62.732360139299495,26.713221844050675,104.78096272997306,211.43612675873882,2463.6330420148774
7.8,62.732360139299495,26.713221844050675,104.78096272997306,211.43612675873882,2463.6330420148774
9.2,106.95324243260687,26.469331933337436,108.63187478415348,361.2324254475325,2696.7564631304745
8.97,76.39075256128845,26.318649161100172,111.68560554126928,239.9183590926497,2610.3857988661784
9.53,64.6050021755245,26.318649161100172,105.37734356881465,223.3181615842301,2610.3857988661784
9.53,76.04844587442685,26.450299516134145,114.74512770754147,273.5162612784566,2658.5959713594066
2.46,68.9631451691091,22.794799373923777,77.84834688996291,173.29964574997507,1669.9512762162585
4.11,68.9631451691091,22.794799373923777,77.84834688996291,173.29964574997507,1669.9512762162585
4.72,91.07509722600032,19.768318297709683,62.29586849864122,145.94462225769115,1447.0675632337625
5.1,91.31509547751399,20.000110085202813,64.30758238341727,162.96304945173685,1532.326026852494
3.27,91.31509547751399,20.000110085202813,64.30758238341727,162.96304945173685,1532.326026852494
2.14,91.67803911061961,20.226650198353994,66.89334858190311,184.11928964110535,1613.0844902161202
4.17,91.46879190383741,20.000110085202813,63.638865931127334,147.19932243940082,1532.326026852494
3.64,73.57516001589406,21.622075620274323,80.62640309476791,163.5118227335777,1694.7940377899286
6.12,82.66197112538774,21.84120889357651,90.13886067618115,227.72181769614593,1956.828255354386
7.19,82.92632150093552,22.031660661953218,91.54072385556057,239.70645776185023,2020.691797617722
6.44,82.92632150093552,22.031660661953218,91.54072385556057,239.70645776185023,2020.691797617722
5.34,83.09553554768473,22.031660661953218,91.07219240251108,228.2057074362125,2020.691797617722
7.46,83.50037248783107,22.218875451713856,92.45452539762452,239.77798627399474,2082.5978634786384
4.48,83.50037248783107,22.218875451713856,92.45452539762452,239.77798627399474,2082.5978634786384
