Activity,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_v_MAS,N1_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS
6.11,14694.437399999997,500.8623182792969,98.55208210941986,41.27225385002131,37.044318054055196,3965.385526119835,146.30089999999998,141.9459083283279,1298.602980597656,269.2561360659322,32.82789831009999,82.56727108676455,6014.1709999999985,1122.5983339962586,24.004108562636915,81.6629044972073
9.0,17604.845,846.226733185547,146.21731236945502,40.78241768806961,38.97757185792876,4381.833280793953,163.7514,219.34753195824067,2382.9307214179685,421.3194367158121,28.139996218638522,105.02349143668306,6562.225599999998,1101.7339396077177,24.69493854117658,96.21066939908484
7.64,12833.766999999998,569.4400800000001,114.5039223167868,68.55106704106494,30.50179756424201,3710.545956333448,109.92129999999999,166.138285959921,1399.5618880000002,304.81551060752173,62.94270230227651,75.39910408071142,5772.2676999999985,1114.9846323233883,20.432279872959747,70.22186092307722
7.31,14849.776999999998,662.31948146875,127.29549639489386,68.78631715239385,31.187211496060364,4106.236764288257,116.42379999999999,186.69716321886003,1691.2365320625,343.6938193509517,62.955818067585916,78.18703203724944,6276.270199999998,1148.3061461383586,20.649488719071464,73.7529301722989
7.3,26354.504,1137.1787448707198,160.46762301072576,82.48599460838025,38.65308479500698,5812.647541007195,183.01649999999998,253.6120181711015,3066.9944992931155,447.97672904429015,65.83090651106703,159.03959070619246,10179.667799999997,1343.879030010122,23.618965684868893,97.47564371934149
8.54,31253.992000000002,1172.6578587694028,135.8255312310981,57.83697609947871,46.09113543459306,6110.916161369422,247.11249999999993,226.51769140984507,3084.6520283516384,374.6907906880165,36.27120042543326,159.8881473060451,12238.2732,1400.6613893408266,27.02669076346811,110.7727983396646
8.52,27789.507999999998,1096.8716246386896,145.26751142466313,55.44342537164712,40.91885145834374,5895.985188522907,201.19869999999995,234.21577043824735,2913.722255681102,400.87714434331554,35.563691280198974,156.52564206980463,10722.867999999997,1352.2730898297873,24.710272752427773,99.93325394732224
8.92,26781.502999999997,1014.8934958177413,136.48722300747113,54.79148528119404,40.3988848660455,5809.17956885966,194.69619999999995,219.5856103535891,2729.3012414498535,381.1923685037444,35.402394182423244,155.5205158208182,10218.865499999998,1328.521183573048,24.559257219053457,99.08342555392399
8.92,30505.958000000002,1191.2622766668464,150.45628207737997,57.10094172855711,42.945600330301595,6114.991505409595,223.44529999999995,244.12837372871044,3140.007850068009,414.96619938563794,35.950941969016014,158.9672497138528,11974.233,1399.879031927145,25.42072813151265,102.69331556873601
8.96,33837.53799999999,1355.1486629861904,165.64934877443773,64.38708500597212,42.44054574837605,6815.2397803429485,220.70619999999994,272.9845261583744,3900.808433836276,520.4291093516167,39.97666786951465,194.63500506260536,12234.8755,1418.9435314350842,25.152591391550526,109.23209478903168
8.55,27297.403999999995,1053.9797880480837,138.45793535167564,55.508668765596745,42.09636548895879,5887.248114816845,206.52979999999994,224.18376411110168,2848.7208421904,391.3829379994046,35.96496158590133,160.28132433343328,10350.885599999998,1328.9556137070222,25.442880288293395,101.5561951212234
9.22,29983.321999999996,1424.0706510176346,188.9746288056574,81.96024117338209,41.456725215940544,6169.05951530134,207.85509999999996,302.7899415177045,3798.7249245568237,513.6592680866952,64.51736070064428,166.2883943479743,11319.6929,1389.964470003376,24.870240865683307,102.5644933517443
8.0,38539.4268,1303.2108147501267,147.2749458896052,69.71204251201577,44.79418593790941,7322.342744794522,243.83839999999995,247.9118616511923,3744.354908849396,439.73070707413405,42.71547425024511,206.38168295634296,13574.208500000002,1494.0681716378788,26.185668387590873,115.44696345655872
8.11,39294.235,1601.118572771993,180.32080332357373,71.1238473795553,46.40569686676412,7259.780058300045,261.28889999999996,301.21482180546195,4513.931980554596,517.424678439041,43.07840966127201,210.2004699045632,14122.263100000002,1482.4159567252243,26.76992012730529,119.2383817359159
7.92,37377.454,1394.166947523137,160.70526668026514,71.30593087055681,43.425395057730924,7136.190148192137,233.71119999999993,268.7571019480117,3989.978754332734,473.68183772905587,43.34423583035612,210.85433038283895,13242.880500000003,1460.127889924978,25.439040710344518,114.85176787276721
8.15,26363.810799999996,849.424560977104,117.58298842042117,59.931643194833335,39.62962857673537,5863.854551316469,186.48729999999998,187.56046123515668,2333.5438293020256,339.25558801932203,39.997661469858066,162.7768453352415,9914.1709,1345.6440279292674,24.313891469394264,96.78279668215833
5.55,8101.306999999999,283.9510423750001,69.80231540895738,66.69901347796775,27.590390168498885,2784.572969298883,83.9113,96.99224083297173,634.51852475,165.01789338712737,62.771937706528256,64.57136466536652,3756.2577000000006,956.113731426241,19.513477942059566,60.0652486467841
6.07,9109.312,339.0041039375001,78.09989182510638,67.02635098434203,28.34628963197829,3020.421197858835,90.4138,110.30204965320146,774.8945950000001,191.33662181293448,62.79769274989507,65.69307603380621,4260.2602,1000.6864127172288,19.751254602611326,62.27181449098781
