Activity,N1_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_e_MAS,N2_Q_AB_nCi_2_NS0_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_r_MAS,N1_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS0_T_KA_p_MAS,N3_Q_AB_nCi_2_NS0_T_KA_e_MAS,N2_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS1_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_v_MAS,N2_Q_AB_nCi_2_NS0_T_KA_p_MAS,N2_Q_AB_nCi_2_NS1_T_KA_e_MAS,N3_Q_AB_nCi_2_NS1_T_KA_r_MAS,N2_Q_AB_nCi_2_NS0_T_KA_v_MAS,N3_Q_AB_nCi_2_NS1_T_KA_p_MAS,N1_Q_AB_nCi_2_NS0_T_KA_r_MAS
6.11,301.3499999999999,55.836343007090015,41.27225385002131,37.044318054055196,82.56727108676455,6014.1709999999985,98.55208210941986,24.004108562636915,380.75086812680667,14694.437399999997,2668.46223557841,141.9459083283279,81.6629044972073,57.92706976236028,1658.257428393499,269.2561360659322,127.05139518999997
9.0,393.4861999999999,62.187615209699366,40.78241768806961,38.97757185792876,105.02349143668306,6562.225599999998,146.21731236945502,24.69493854117658,628.4647591733835,17604.845,2839.2021770149195,219.34753195824067,96.21066939908484,71.72114188754168,1680.0099135679407,421.3194367158121,148.66076701999998
7.64,238.42499999999995,49.050505516529704,68.55106704106494,30.50179756424201,75.39910408071142,5772.2676999999985,114.5039223167868,20.432279872959747,428.44481789443364,12833.766999999998,2530.4588124896004,166.138285959921,70.22186092307722,51.461518398282365,1659.481440489254,304.81551060752173,156.34935581999997
7.31,264.435,50.319267369939276,68.78631715239385,31.187211496060364,78.18703203724944,6276.270199999998,127.29549639489386,20.649488719071464,493.07788905840687,14849.776999999998,2746.975416584827,186.69716321886003,73.7529301722989,52.65354408486567,1734.329026261897,343.6938193509517,162.21306158
7.3,447.5759999999999,60.64109009603223,82.48599460838025,38.65308479500698,159.03959070619246,10179.667799999997,160.46762301072576,23.618965684868893,699.0221455538546,26354.504,3619.321004921604,253.6120181711015,97.47564371934149,105.69417557341862,2205.148568188162,447.97672904429015,288.01664399000003
8.54,579.156,66.24740610177557,57.83697609947871,46.09113543459306,159.8881473060451,12238.2732,135.8255312310981,27.02669076346811,612.5542518861757,31253.992000000002,3675.2048462017765,226.51769140984507,110.7727983396646,105.04548299758798,2373.618827141232,374.6907906880165,275.90773209
8.52,477.97199999999987,61.48285010217771,55.44342537164712,40.91885145834374,156.52564206980463,10722.867999999997,145.26751142466313,24.710272752427773,636.256268261373,27789.507999999998,3623.1384430364737,234.21577043824735,99.93325394732224,104.4937859992049,2243.200078757755,400.87714434331554,244.87801539
8.92,464.96699999999987,61.28827962759615,54.79148528119404,40.3988848660455,155.5205158208182,10218.865499999998,136.48722300747113,24.559257219053457,604.2436839540127,26781.502999999997,3596.9420917097605,219.5856103535891,99.08342555392399,104.31186349045801,2185.847220949476,381.1923685037444,236.40060083
8.92,519.4859999999999,62.13603423362555,57.10094172855711,42.945600330301595,158.9672497138528,11974.233,150.45628207737997,25.42072813151265,662.0187055984071,30505.958000000002,3687.664924575597,244.12837372871044,102.69331556873601,104.8533212301897,2366.2645082389454,414.96619938563794,268.45134428
8.96,556.002,65.44108223757739,64.38708500597212,42.44054574837605,194.63500506260536,12234.8755,165.64934877443773,25.152591391550526,823.8816532307743,33837.53799999999,4118.102306273063,272.9845261583744,109.23209478903168,124.85814374163368,2407.0733585326284,520.4291093516167,303.82246843
